INDICATOR_ID,INDICATOR_LABEL_EN
EA.1t8.Ag25t99.F,"Educational attainment rate, completed primary education or higher, population 25+ years, female (%)"
EA.1t8.Ag25t99.GPIA,"Educational attainment rate, completed primary education or higher, population 25+ years, adjusted gender parity index (GPIA)"
EA.1t8.Ag25t99.M,"Educational attainment rate, completed primary education or higher, population 25+ years, male (%)"
EA.2t8.Ag25t99,"Educational attainment rate, completed lower secondary education or higher, population 25+ years, both sexes (%)"
EA.2t8.Ag25t99.F,"Educational attainment rate, completed lower secondary education or higher, population 25+ years, female (%)"
EA.2t8.Ag25t99.GPIA,"Educational attainment rate, completed lower secondary education or higher, population 25+ years, adjusted gender parity index (GPIA)"
EA.2t8.Ag25t99.M,"Educational attainment rate, completed lower secondary education or higher, population 25+ years, male (%)"
EA.3t8.Ag25t99,"Educational attainment rate, completed upper secondary education or higher, population 25+ years, both sexes (%)"
EA.3t8.Ag25t99.F,"Educational attainment rate, completed upper secondary education or higher, population 25+ years, female (%)"
EA.3t8.Ag25t99.GPIA,"Educational attainment rate, completed upper secondary education or higher, population 25+ years, adjusted gender parity index (GPIA)"
EA.3t8.Ag25t99.M,"Educational attainment rate, completed upper secondary education or higher, population 25+ years, male (%)"
EA.4t8.Ag25t99,"Educational attainment rate, completed post-secondary non-tertiary education or higher, population 25+ years, both sexes (%)"
EA.4t8.Ag25t99.F,"Educational attainment rate, completed post-secondary non-tertiary education or higher, population 25+ years, female (%)"
EA.4t8.Ag25t99.GPIA,"Educational attainment rate, completed post-secondary non-tertiary education or higher, population 25+ years, adjusted gender parity index (GPIA)"
EA.4t8.Ag25t99.M,"Educational attainment rate, completed post-secondary non-tertiary education or higher, population 25+ years, male (%)"
EA.5t8.Ag25t99,"Educational attainment rate, completed short-cycle tertiary education or higher, population 25+ years, both sexes (%)"
EA.5t8.Ag25t99.F,"Educational attainment rate, completed short-cycle tertiary education or higher, population 25+ years, female (%)"
EA.5t8.Ag25t99.GPIA,"Educational attainment rate, completed short-cycle tertiary education or higher, population 25+ years, adjusted gender parity index (GPIA)"
EA.5t8.Ag25t99.M,"Educational attainment rate, completed short-cycle tertiary education or higher, population 25+ years, male (%)"
EA.6t8.Ag25t99,"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years, both sexes (%)"
EA.6t8.Ag25t99.F,"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years, female (%)"
EA.6t8.Ag25t99.GPIA,"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years, adjusted gender parity index (GPIA)"
EA.6t8.Ag25t99.M,"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years, male (%)"
EA.7t8.Ag25t99,"Educational attainment rate, completed Master's or equivalent education or higher, population 25+ years, both sexes (%)"
EA.7t8.Ag25t99.F,"Educational attainment rate, completed Master's or equivalent education or higher, population 25+ years, female (%)"
EA.7t8.Ag25t99.GPIA,"Educational attainment rate, completed Master's or equivalent education or higher, population 25+ years, adjusted gender parity index (GPIA)"
EA.7t8.Ag25t99.M,"Educational attainment rate, completed Master's or equivalent education or higher, population 25+ years, male (%)"
EA.8.Ag25t99,"Educational attainment rate, completed Doctoral or equivalent education, population 25+ years, both sexes (%)"
EA.8.Ag25t99.F,"Educational attainment rate, completed Doctoral or equivalent education, population 25+ years, female (%)"
EA.8.Ag25t99.GPIA,"Educational attainment rate, completed Doctoral or equivalent education, population 25+ years, adjusted gender parity index (GPIA)"
EA.8.Ag25t99.M,"Educational attainment rate, completed Doctoral or equivalent education, population 25+ years, male (%)"
EA.s1t8.Ag25t99,"Educational attainment: at least some primary (ISCED 1), population 25+ years, both sexes (%)"
EA.s1t8.Ag25t99.F,"Educational attainment: at least some primary (ISCED 1), population 25+ years, female (%)"
EA.s1t8.Ag25t99.GPIA,"Educational attainment: at least some primary (ISCED 1), population 25+ years, adjusted gender parity index (GPIA)"
EA.s1t8.Ag25t99.M,"Educational attainment: at least some primary (ISCED 1), population 25+ years, male (%)"
ESG.LowerSec,"Percentage of students in lower secondary education showing proficiency in knowledge of environmental science and geoscience, both sexes (%)"
ESG.LowerSec.Cogn,"Percentage of students in lower secondary education showing proficiency in knowledge of environmental science and geoscience – Cognitive dimension, both sexes (%)"
ESG.LowerSec.Cogn.F,"Percentage of students in lower secondary education showing proficiency in knowledge of environmental science and geoscience – Cognitive dimension, female (%)"
ESG.LowerSec.Cogn.GPIA,"Percentage of students in lower secondary education showing proficiency in knowledge of environmental science and geoscience – Cognitive dimension – adjusted gender parity index (GPIA)"
ESG.LowerSec.Cogn.M,"Percentage of students in lower secondary education showing proficiency in knowledge of environmental science and geoscience – Cognitive dimension, male (%)"
ESG.LowerSec.F,"Percentage of students in lower secondary education showing proficiency in knowledge of environmental science and geoscience, female (%)"
ESG.LowerSec.GPIA,"Percentage of students in lower secondary education showing proficiency in knowledge of environmental science and geoscience – adjusted gender parity index (GPIA)"
ESG.LowerSec.M,"Percentage of students in lower secondary education showing proficiency in knowledge of environmental science and geoscience, male (%)"
ESG.LowerSec.NCog.Conf,"Percentage of students in lower secondary education showing proficiency in knowledge of environmental science and geoscience – Non-cognitive dimension - Confidence, both sexes (%)"
ESG.LowerSec.NCog.Conf.F,"Percentage of students in lower secondary education showing proficiency in knowledge of environmental science and geoscience – Non-cognitive dimension – Confidence, female (%)"
ESG.LowerSec.NCog.Conf.GPIA,"Percentage of students in lower secondary education showing proficiency in knowledge of environmental science and geoscience – Non-cognitive dimension – Confidence – adjusted gender parity index (GPIA)"
ESG.LowerSec.NCog.Conf.M,"Percentage of students in lower secondary education showing proficiency in knowledge of environmental science and geoscience – Non-cognitive dimension – Confidence, male (%)"
ESG.LowerSec.NCog.Enjo,"Percentage of students in lower secondary education showing proficiency in knowledge of environmental science and geoscience – Non-cognitive dimension - Enjoyment, both sexes (%)"
ESG.LowerSec.NCog.Enjo.F,"Percentage of students in lower secondary education showing proficiency in knowledge of environmental science and geoscience – Non-cognitive dimension – Enjoyment, female (%)"
ESG.LowerSec.NCog.Enjo.GPIA,"Percentage of students in lower secondary education showing proficiency in knowledge of environmental science and geoscience – Non-cognitive dimension – Enjoyment – adjusted gender parity index (GPIA)"
ESG.LowerSec.NCog.Enjo.M,"Percentage of students in lower secondary education showing proficiency in knowledge of environmental science and geoscience – Non-cognitive dimension – Enjoyment, male (%)"
EV1524P.2t5.V,"Proportion of 15-24 year-olds enrolled in vocational education, both sexes (%)"
EV1524P.2t5.V.F,"Proportion of 15-24 year-olds enrolled in vocational education, female (%)"
EV1524P.2t5.V.GPIA,"Proportion of 15-24 year-olds enrolled in vocational education, adjusted gender parity index (GPIA)"
EV1524P.2t5.V.M,"Proportion of 15-24 year-olds enrolled in vocational education, male (%)"
FHLangILP.1,"Percentage of  students in primary education who have their first or home language as language of instruction, both sexes (%)"
FHLangILP.1.F,"Percentage of  students in primary education who have their first or home language as language of instruction, female (%)"
FHLangILP.1.GPIA,"Percentage of students in primary education who have their first or home language as language of instruction, adjusted gender parity index (GPIA)"
FHLangILP.1.highSES,"Percentage of  students in primary education who have their first or home language as language of instruction, very affluent socioeconomic background, both sexes (%)"
FHLangILP.1.lowSES,"Percentage of  students in primary education who have their first or home language as language of instruction, very poor socioeconomic background, both sexes (%)"
FHLangILP.1.LPIA,"Percentage of students in primary education who have their first or home language as language of instruction, adjusted location parity index (LPIA)"
FHLangILP.1.M,"Percentage of  students in primary education who have their first or home language as language of instruction, male (%)"
FHLangILP.1.rur,"Percentage of  students in primary education who have their first or home language as language of instruction, rural, both sexes (%)"
FHLangILP.1.urb,"Percentage of  students in primary education who have their first or home language as language of instruction, urban, both sexes (%)"
FHLangILP.1.WPIA,"Percentage of students in primary education who have their first or home language as language of instruction, adjusted wealth parity index (WPIA)"
GAR.5t8,"Gross attendance ratio for tertiary education, both sexes (%)"
GAR.5t8.F,"Gross attendance ratio for tertiary education, female (%)"
GAR.5t8.F.LPIA,"Gross attendance ratio for tertiary education, female, adjusted location parity index (LPIA)"
GAR.5t8.F.WPIA,"Gross attendance ratio for tertiary education, female, adjusted wealth parity index (WPIA)"
GAR.5t8.GPIA,"Gross attendance ratio for tertiary education, adjusted gender parity index (GPIA)"
GAR.5t8.LPIA,"Gross attendance ratio for tertiary education, adjusted location parity index (LPIA)"
GAR.5t8.M,"Gross attendance ratio for tertiary education, male (%)"
GAR.5t8.M.LPIA,"Gross attendance ratio for tertiary education, male, adjusted location parity index (LPIA)"
GAR.5t8.M.WPIA,"Gross attendance ratio for tertiary education, male, adjusted wealth parity index (WPIA)"
GAR.5t8.Q1,"Gross attendance ratio for tertiary education, poorest quintile, both sexes (%)"
GAR.5t8.Q1.F,"Gross attendance ratio for tertiary education, poorest quintile, female (%)"
GAR.5t8.Q1.F.LPIA,"Gross attendance ratio for tertiary education, poorest quintile, female, adjusted location parity index (LPIA)"
GAR.5t8.Q1.GPIA,"Gross attendance ratio for tertiary education, poorest quintile, adjusted gender parity index (GPIA)"
GAR.5t8.Q1.LPIA,"Gross attendance ratio for tertiary education, poorest quintile, adjusted location parity index (LPIA)"
GAR.5t8.Q1.M,"Gross attendance ratio for tertiary education, poorest quintile, male (%)"
GAR.5t8.Q1.M.LPIA,"Gross attendance ratio for tertiary education, poorest quintile, male, adjusted location parity index (LPIA)"
GAR.5t8.Q2,"Gross attendance ratio for tertiary education, second quintile, both sexes (%)"
GAR.5t8.Q2.F,"Gross attendance ratio for tertiary education, second quintile, female (%)"
GAR.5t8.Q2.F.LPIA,"Gross attendance ratio for tertiary education, second quintile, female, adjusted location parity index (LPIA)"
GAR.5t8.Q2.GPIA,"Gross attendance ratio for tertiary education, second quintile, adjusted gender parity index (GPIA)"
GAR.5t8.Q2.LPIA,"Gross attendance ratio for tertiary education, second quintile, adjusted location parity index (LPIA)"
GAR.5t8.Q2.M,"Gross attendance ratio for tertiary education, second quintile, male (%)"
GAR.5t8.Q2.M.LPIA,"Gross attendance ratio for tertiary education, second quintile, male, adjusted location parity index (LPIA)"
GAR.5t8.Q3,"Gross attendance ratio for tertiary education, middle quintile, both sexes (%)"
GAR.5t8.Q3.F,"Gross attendance ratio for tertiary education, middle quintile, female (%)"
GAR.5t8.Q3.F.LPIA,"Gross attendance ratio for tertiary education, middle quintile, female, adjusted location parity index (LPIA)"
GAR.5t8.Q3.GPIA,"Gross attendance ratio for tertiary education, middle quintile, adjusted gender parity index (GPIA)"
GAR.5t8.Q3.LPIA,"Gross attendance ratio for tertiary education, middle quintile, adjusted location parity index (LPIA)"
GAR.5t8.Q3.M,"Gross attendance ratio for tertiary education, middle quintile, male (%)"
GAR.5t8.Q3.M.LPIA,"Gross attendance ratio for tertiary education, middle quintile, male, adjusted location parity index (LPIA)"
GAR.5t8.Q4,"Gross attendance ratio for tertiary education, fourth quintile, both sexes (%)"
GAR.5t8.Q4.F,"Gross attendance ratio for tertiary education, fourth quintile, female (%)"
GAR.5t8.Q4.F.LPIA,"Gross attendance ratio for tertiary education, fourth quintile, female, adjusted location parity index (LPIA)"
GAR.5t8.Q4.GPIA,"Gross attendance ratio for tertiary education, fourth quintile, adjusted gender parity index (GPIA)"
GAR.5t8.Q4.LPIA,"Gross attendance ratio for tertiary education, fourth quintile, adjusted location parity index (LPIA)"
GAR.5t8.Q4.M,"Gross attendance ratio for tertiary education, fourth quintile, male (%)"
GAR.5t8.Q4.M.LPIA,"Gross attendance ratio for tertiary education, fourth quintile, male, adjusted location parity index (LPIA)"
GAR.5t8.Q5,"Gross attendance ratio for tertiary education, richest quintile, both sexes (%)"
GAR.5t8.Q5.F,"Gross attendance ratio for tertiary education, richest quintile, female (%)"
GAR.5t8.Q5.F.LPIA,"Gross attendance ratio for tertiary education, richest quintile, female, adjusted location parity index (LPIA)"
GAR.5t8.Q5.GPIA,"Gross attendance ratio for tertiary education, richest quintile, adjusted gender parity index (GPIA)"
GAR.5t8.Q5.LPIA,"Gross attendance ratio for tertiary education, richest quintile, adjusted location parity index (LPIA)"
GAR.5t8.Q5.M,"Gross attendance ratio for tertiary education, richest quintile, male (%)"
GAR.5t8.Q5.M.LPIA,"Gross attendance ratio for tertiary education, richest quintile, male, adjusted location parity index (LPIA)"
GAR.5t8.RUR,"Gross attendance ratio for tertiary education, rural, both sexes (%)"
GAR.5t8.RUR.F,"Gross attendance ratio for tertiary education, rural, female (%)"
GAR.5t8.RUR.F.WPIA,"Gross attendance ratio for tertiary education, rural, female, adjusted wealth parity index (WPIA)"
GAR.5t8.RUR.GPIA,"Gross attendance ratio for tertiary education, rural, adjusted gender parity index (GPIA)"
GAR.5t8.RUR.M,"Gross attendance ratio for tertiary education, rural, male (%)"
GAR.5t8.RUR.M.WPIA,"Gross attendance ratio for tertiary education, rural, male, adjusted wealth parity index (WPIA)"
GAR.5t8.RUR.Q1,"Gross attendance ratio for tertiary education, rural, poorest quintile, both sexes (%)"
GAR.5t8.RUR.Q1.F,"Gross attendance ratio for tertiary education, rural, poorest quintile, female (%)"
GAR.5t8.RUR.Q1.GPIA,"Gross attendance ratio for tertiary education, rural, poorest quintile, adjusted gender parity index (GPIA)"
GAR.5t8.RUR.Q1.M,"Gross attendance ratio for tertiary education, rural, poorest quintile, male (%)"
GAR.5t8.RUR.Q2,"Gross attendance ratio for tertiary education, rural, second quintile, both sexes (%)"
GAR.5t8.RUR.Q2.F,"Gross attendance ratio for tertiary education, rural, second quintile, female (%)"
GAR.5t8.RUR.Q2.GPIA,"Gross attendance ratio for tertiary education, rural, second quintile, adjusted gender parity index (GPIA)"
GAR.5t8.RUR.Q2.M,"Gross attendance ratio for tertiary education, rural, second quintile, male (%)"
GAR.5t8.RUR.Q3,"Gross attendance ratio for tertiary education, rural, middle quintile, both sexes (%)"
GAR.5t8.RUR.Q3.F,"Gross attendance ratio for tertiary education, rural, middle quintile, female (%)"
GAR.5t8.RUR.Q3.GPIA,"Gross attendance ratio for tertiary education, rural, middle quintile, adjusted gender parity index (GPIA)"
GAR.5t8.RUR.Q3.M,"Gross attendance ratio for tertiary education, rural, middle quintile, male (%)"
GAR.5t8.RUR.Q4,"Gross attendance ratio for tertiary education, rural, fourth quintile, both sexes (%)"
GAR.5t8.RUR.Q4.F,"Gross attendance ratio for tertiary education, rural, fourth quintile, female (%)"
GAR.5t8.RUR.Q4.GPIA,"Gross attendance ratio for tertiary education, rural, fourth quintile, adjusted gender parity index (GPIA)"
GAR.5t8.RUR.Q4.M,"Gross attendance ratio for tertiary education, rural, fourth quintile, male (%)"
GAR.5t8.RUR.Q5,"Gross attendance ratio for tertiary education, rural, richest quintile, both sexes (%)"
GAR.5t8.RUR.Q5.F,"Gross attendance ratio for tertiary education, rural, richest quintile, female (%)"
GAR.5t8.RUR.Q5.GPIA,"Gross attendance ratio for tertiary education, rural, richest quintile, adjusted gender parity index (GPIA)"
GAR.5t8.RUR.Q5.M,"Gross attendance ratio for tertiary education, rural, richest quintile, male (%)"
GAR.5t8.RUR.WPIA,"Gross attendance ratio for tertiary education, rural, adjusted wealth parity index (WPIA)"
GAR.5t8.URB,"Gross attendance ratio for tertiary education, urban, both sexes (%)"
GAR.5t8.URB.F,"Gross attendance ratio for tertiary education, urban, female (%)"
GAR.5t8.URB.F.WPIA,"Gross attendance ratio for tertiary education, urban, female, adjusted wealth parity index (WPIA)"
GAR.5t8.URB.GPIA,"Gross attendance ratio for tertiary education, urban, adjusted gender parity index (GPIA)"
GAR.5t8.URB.M,"Gross attendance ratio for tertiary education, urban, male (%)"
GAR.5t8.URB.M.WPIA,"Gross attendance ratio for tertiary education, urban, male, adjusted wealth parity index (WPIA)"
GAR.5t8.URB.Q1,"Gross attendance ratio for tertiary education, urban, poorest quintile, both sexes (%)"
GAR.5t8.URB.Q1.F,"Gross attendance ratio for tertiary education, urban, poorest quintile, female (%)"
GAR.5t8.URB.Q1.GPIA,"Gross attendance ratio for tertiary education, urban, poorest quintile, adjusted gender parity index (GPIA)"
GAR.5t8.URB.Q1.M,"Gross attendance ratio for tertiary education, urban, poorest quintile, male (%)"
GAR.5t8.URB.Q2,"Gross attendance ratio for tertiary education, urban, second quintile, both sexes (%)"
GAR.5t8.URB.Q2.F,"Gross attendance ratio for tertiary education, urban, second quintile, female (%)"
GAR.5t8.URB.Q2.GPIA,"Gross attendance ratio for tertiary education, urban, second quintile, adjusted gender parity index (GPIA)"
GAR.5t8.URB.Q2.M,"Gross attendance ratio for tertiary education, urban, second quintile, male (%)"
GAR.5t8.URB.Q3,"Gross attendance ratio for tertiary education, urban, middle quintile, both sexes (%)"
GAR.5t8.URB.Q3.F,"Gross attendance ratio for tertiary education, urban, middle quintile, female (%)"
GAR.5t8.URB.Q3.GPIA,"Gross attendance ratio for tertiary education, urban, middle quintile, adjusted gender parity index (GPIA)"
GAR.5t8.URB.Q3.M,"Gross attendance ratio for tertiary education, urban, middle quintile, male (%)"
GAR.5t8.URB.Q4,"Gross attendance ratio for tertiary education, urban, fourth quintile, both sexes (%)"
GAR.5t8.URB.Q4.F,"Gross attendance ratio for tertiary education, urban, fourth quintile, female (%)"
GAR.5t8.URB.Q4.GPIA,"Gross attendance ratio for tertiary education, urban, fourth quintile, adjusted gender parity index (GPIA)"
GAR.5t8.URB.Q4.M,"Gross attendance ratio for tertiary education, urban, fourth quintile, male (%)"
GAR.5t8.URB.Q5,"Gross attendance ratio for tertiary education, urban, richest quintile, both sexes (%)"
GAR.5t8.URB.Q5.F,"Gross attendance ratio for tertiary education, urban, richest quintile, female (%)"
GAR.5t8.URB.Q5.GPIA,"Gross attendance ratio for tertiary education, urban, richest quintile, adjusted gender parity index (GPIA)"
GAR.5t8.URB.Q5.M,"Gross attendance ratio for tertiary education, urban, richest quintile, male (%)"
GAR.5t8.URB.WPIA,"Gross attendance ratio for tertiary education, urban, adjusted wealth parity index (WPIA)"
GAR.5t8.WPIA,"Gross attendance ratio for tertiary education, adjusted wealth parity index (WPIA)"
GCS.LowerSec,"Percentage of students in lower secondary education showing adequate understanding of issues relating to global citizenship and sustainability, both sexes (%)"
GCS.LowerSec.Cog,"Percentage of students in lower secondary education showing adequate understanding of issues relating to global citizenship and sustainability - Cognitive Dimension, both sexes (%)"
GCS.LowerSec.Cog.F,"Percentage of students in lower secondary education showing adequate understanding of issues relating to global citizenship and sustainability - Cognitive Dimension, female (%)"
GCS.LowerSec.Cog.GPIA,"Percentage of students in lower secondary education showing adequate understanding of issues relating to global citizenship and sustainability - Cognitive Dimension, adjusted gender parity index (GPIA)"
GCS.LowerSec.Cog.M,"Percentage of students in lower secondary education showing adequate understanding of issues relating to global citizenship and sustainability - Cognitive Dimension, male (%)"
GCS.LowerSec.F,"Percentage of students in lower secondary education showing adequate understanding of issues relating to global citizenship and sustainability, female (%)"
GCS.LowerSec.GPIA,"Percentage of students in lower secondary education showing adequate understanding of issues relating to global citizenship and sustainability, adjusted gender parity index (GPIA)"
GCS.LowerSec.M,"Percentage of students in lower secondary education showing adequate understanding of issues relating to global citizenship and sustainability, male (%)"
GCS.LowerSec.NCog.Free,"Percentage of students in lower secondary education showing adequate understanding of issues relating to global citizenship and sustainability – Non-cognitive Dimension – Freedom, both sexes (%)"
GCS.LowerSec.NCog.Free.F,"Percentage of students in lower secondary education showing adequate understanding of issues relating to global citizenship and sustainability – Non-cognitive Dimension – Freedom, female (%)"
GCS.LowerSec.NCog.Free.GPIA,"Percentage of students in lower secondary education showing adequate understanding of issues relating to global citizenship and sustainability – Non-cognitive Dimension – Freedom, adjusted gender parity index (GPIA)"
GCS.LowerSec.NCog.Free.M,"Percentage of students in lower secondary education showing adequate understanding of issues relating to global citizenship and sustainability – Non-cognitive Dimension – Freedom, male (%)"
GCS.LowerSec.NCog.GEqu,"Percentage of students in lower secondary education showing adequate understanding of issues relating to global citizenship and sustainability – Non-cognitive Dimension – Gender equality, both sexes (%)"
GCS.LowerSec.NCog.GEqu.F,"Percentage of students in lower secondary education showing adequate understanding of issues relating to global citizenship and sustainability – Non-cognitive Dimension – Gender equality, female (%)"
GCS.LowerSec.NCog.GEqu.GPIA,"Percentage of students in lower secondary education showing adequate understanding of issues relating to global citizenship and sustainability – Non-cognitive Dimension – Gender equality, adjusted gender parity index (GPIA)"
GCS.LowerSec.NCog.GEqu.M,"Percentage of students in lower secondary education showing adequate understanding of issues relating to global citizenship and sustainability – Non-cognitive Dimension – Gender equality, male (%)"
GCS.LowerSec.NCog.GLoc,"Percentage of students in lower secondary education showing adequate understanding of issues relating to global citizenship and sustainability – Non-cognitive Dimension – Global-local thinking, both sexes (%)"
GCS.LowerSec.NCog.GLoc.F,"Percentage of students in lower secondary education showing adequate understanding of issues relating to global citizenship and sustainability – Non-cognitive Dimension – Global-local thinking, female (%)"
GCS.LowerSec.NCog.Gloc.GPIA,"Percentage of students in lower secondary education showing adequate understanding of issues relating to global citizenship and sustainability – Non-cognitive Dimension – Global-local thinking, adjusted gender parity index (GPIA)"
GCS.LowerSec.NCog.GLoc.M,"Percentage of students in lower secondary education showing adequate understanding of issues relating to global citizenship and sustainability – Non-cognitive Dimension – Global-local thinking, male (%)"
GCS.LowerSec.NCog.Mult,"Percentage of students in lower secondary education showing adequate understanding of issues relating to global citizenship and sustainability – Non-cognitive Dimension – Multiculturalism, both sexes (%)"
GCS.LowerSec.NCog.Mult.F,"Percentage of students in lower secondary education showing adequate understanding of issues relating to global citizenship and sustainability – Non-cognitive Dimension – Multiculturalism, female (%)"
GCS.LowerSec.NCog.Mult.GPIA,"Percentage of students in lower secondary education showing adequate understanding of issues relating to global citizenship and sustainability – Non-cognitive Dimension – Multiculturalism, adjusted gender parity index (GPIA)"
GCS.LowerSec.NCog.Mult.M,"Percentage of students in lower secondary education showing adequate understanding of issues relating to global citizenship and sustainability – Non-cognitive Dimension – Multiculturalism, male (%)"
GCS.LowerSec.NCog.Peac,"Percentage of students in lower secondary education showing adequate understanding of issues relating to global citizenship and sustainability – Non-cognitive Dimension – Peace, both sexes (%)"
GCS.LowerSec.NCog.Peac.F,"Percentage of students in lower secondary education showing adequate understanding of issues relating to global citizenship and sustainability – Non-cognitive Dimension – Peace, female (%)"
GCS.LowerSec.NCog.Peac.GPIA,"Percentage of students in lower secondary education showing adequate understanding of issues relating to global citizenship and sustainability – Non-cognitive Dimension – Peace, adjusted gender parity index (GPIA)"
GCS.LowerSec.NCog.Peac.M,"Percentage of students in lower secondary education showing adequate understanding of issues relating to global citizenship and sustainability – Non-cognitive Dimension – Peace, male (%)"
GCS.LowerSec.NCog.SDev,"Percentage of students in lower secondary education showing adequate understanding of issues relating to global citizenship and sustainability – Non-cognitive Dimension – Sustainable development, both sexes (%)"
GCS.LowerSec.NCog.SDev.F,"Percentage of students in lower secondary education showing adequate understanding of issues relating to global citizenship and sustainability – Non-cognitive Dimension – Sustainable development, female (%)"
GCS.LowerSec.NCog.Sdev.GPIA,"Percentage of students in lower secondary education showing adequate understanding of issues relating to global citizenship and sustainability – Non-cognitive Dimension – Sustainable development, adjusted gender parity index (GPIA)"
GCS.LowerSec.NCog.SDev.M,"Percentage of students in lower secondary education showing adequate understanding of issues relating to global citizenship and sustainability – Non-cognitive Dimension – Sustainable development, male (%)"
GCS.LowerSec.NCog.SJus,"Percentage of students in lower secondary education showing adequate understanding of issues relating to global citizenship and sustainability – Non-cognitive Dimension – Social Justice, both sexes (%)"
GCS.LowerSec.NCog.SJus.F,"Percentage of students in lower secondary education showing adequate understanding of issues relating to global citizenship and sustainability – Non-cognitive Dimension – Social Justice, female (%)"
GCS.LowerSec.NCog.Sjus.GPIA,"Percentage of students in lower secondary education showing adequate understanding of issues relating to global citizenship and sustainability – Non-cognitive Dimension – Social Justice, adjusted gender parity index (GPIA)"
GCS.LowerSec.NCog.SJus.M,"Percentage of students in lower secondary education showing adequate understanding of issues relating to global citizenship and sustainability – Non-cognitive Dimension – Social Justice, male (%)"
GER.0,"Gross enrolment ratio, early childhood education, both sexes (%)"
GER.0.F,"Gross enrolment ratio, early childhood education, female (%)"
GER.0.GPIA,"Gross enrolment ratio, early childhood education, adjusted gender parity index (GPIA)"
GER.0.M,"Gross enrolment ratio, early childhood education, male (%)"
GER.01,"Gross enrolment ratio, early childhood educational development programmes, both sexes (%)"
GER.01.F,"Gross enrolment ratio, early childhood educational development programmes, female (%)"
GER.01.GPIA,"Gross enrolment ratio, early childhood educational development programmes, adjusted gender parity index (GPIA)"
GER.01.M,"Gross enrolment ratio, early childhood educational development programmes, male (%)"
GER.02,"Gross enrolment ratio, pre-primary, both sexes (%)"
GER.02.F,"Gross enrolment ratio, pre-primary, female (%)"
GER.02.GPIA,"Gross enrolment ratio, pre-primary, adjusted gender parity index (GPIA)"
GER.02.M,"Gross enrolment ratio, pre-primary, male (%)"
GER.5t8,"Gross enrolment ratio for tertiary education, both sexes (%)"
GER.5t8.F,"Gross enrolment ratio for tertiary education, female (%)"
GER.5t8.GPIA,"Gross enrolment ratio for tertiary education, adjusted gender parity index (GPIA)"
GER.5t8.M,"Gross enrolment ratio for tertiary education, male (%)"
ICTskillAttach,"Proportion of youth and adults who have sent e-mails with attached files (e.g. document, picture, video), both sexes (%)"
ICTskillAttach.F,"Proportion of youth and adults who have sent e-mails with attached files (e.g. document, picture, video), female (%)"
ICTskillAttach.GPIA,"Proportion of youth and adults who have sent e-mails with attached files (e.g. document, picture, video), adjusted gender parity index (GPIA)"
ICTskillAttach.M,"Proportion of youth and adults who have sent e-mails with attached files (e.g. document, picture, video), male (%)"
ICTskillConnec,"Proportion of youth and adults who have connected and installed new devices (%)"
ICTskillConnec.F,"Proportion of youth and adults who have connected and installed new devices, female (%)"
ICTskillConnec.GPIA,"Proportion of youth and adults who have connected and installed new devices, adjusted gender parity index (GPIA)"
ICTskillConnec.M,"Proportion of youth and adults who have connected and installed new devices, male (%)"
ICTskillCopi,"Proportion of youth and adults who have copied or moved a file or folder (%)"
ICTskillCopi.F,"Proportion of youth and adults who have copied or moved a file or folder, female (%)"
ICTskillCopi.GPIA,"Proportion of youth and adults who have copied or moved a file or folder, adjusted gender parity index (GPIA)"
ICTskillCopi.M,"Proportion of youth and adults who have copied or moved a file or folder, male (%)"
ICTskillCreat,"Proportion of youth and adults who have created electronic presentations with presentation software (%)"
ICTskillCreat.F,"Proportion of youth and adults who have created electronic presentations with presentation software, female (%)"
ICTskillCreat.GPIA,"Proportion of youth and adults who have created electronic presentations with presentation software, adjusted gender parity index (GPIA)"
ICTskillCreat.M,"Proportion of youth and adults who have created electronic presentations with presentation software, male (%)"
ICTskillDuplic,"Proportion of youth and adults who have used copy and paste tools to duplicate or move information within a document , both sexes (%)"
ICTskillDuplic.F,"Proportion of youth and adults who have used copy and paste tools to duplicate or move information within a document, female (%)"
ICTskillDuplic.GPIA,"Proportion of youth and adults who have used copy and paste tools to duplicate or move information within a document, adjusted gender parity index (GPIA)"
ICTskillDuplic.M,"Proportion of youth and adults who have used copy and paste tools to duplicate or move information within a document, male (%)"
ICTskillFormula,"Proportion of youth and adults who have used basic arithmetic formulae in a spreadsheet, both sexes (%)"
ICTskillFormula.F,"Proportion of youth and adults who have used basic arithmetic formulae in a spreadsheet, female (%)"
ICTskillFormula.GPIA,"Proportion of youth and adults who have used basic arithmetic formulae in a spreadsheet, adjusted gender parity index (GPIA)"
ICTskillFormula.M,"Proportion of youth and adults who have used basic arithmetic formulae in a spreadsheet, male (%)"
ICTskillProgLang,"Proportion of youth and adults who have wrote a computer program using a specialised programming language, both sexes (%)"
ICTskillProgLang.F,"Proportion of youth and adults who have wrote a computer program using a specialised programming language, female (%)"
ICTskillProgLang.GPIA,"Proportion of youth and adults who have wrote a computer program using a specialised programming language, adjusted gender parity index (GPIA)"
ICTskillProgLang.M,"Proportion of youth and adults who have wrote a computer program using a specialised programming language, male (%)"
ICTskillSoftware,"Proportion of youth and adults who have found, downloaded, installed and configured software, both sexes (%)"
