Country Code,Short Name,Table Name,Long Name,2-alpha code,Currency Unit,Special Notes,Region,Income Group,WB-2 code,National accounts base year,National accounts reference year,SNA price valuation,Lending category,Other groups,System of National Accounts,Alternative conversion factor,PPP survey year,Balance of Payments Manual in use,External debt Reporting status,System of trade,Government Accounting concept,IMF data dissemination standard,Latest population census,Latest household survey,Source of most recent Income and expenditure data,Vital registration complete,Latest agricultural census,Latest industrial data,Latest trade data
EGY,Egypt,"Egypt, Arab Rep.",Arab Republic of Egypt,EG,Egyptian pound,Fiscal year end: June 30; reporting period for national accounts data: FY.,Middle East & North Africa,Lower middle income,EG,2011/12,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,,2011,BPM5 (Converted into BPM6 by IMF),Actual,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2006,"Health Issues Survey, 2015","Expenditure survey/budget survey (ES/BS), 2015",Yes,2009/10,2012,2017
EMU,Euro area,Euro area,Euro area,XC,,Euro area aggregate.,,,XC,,,,,,,,,BPM6,,,,,,,,,,,2016
ERI,Eritrea,Eritrea,State of Eritrea,ER,Eritrean nakfa,,Sub-Saharan Africa,Low income,ER,2000,,Value added at basic prices (VAB),IDA,HIPC,,,,BPM5 (Converted into BPM6 by IMF),Estimate,,,,1984,"Demographic and Health Survey, 2002","Priority survey (PS), 1993",,,2012,2017
ESP,Spain,Spain,Kingdom of Spain,ES,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 166.386 Spanish peseta. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,ES,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,,Rolling,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS+),"2011. Population data compiled from administrative registers in combination with other sources of data, such as a sample surveys.",,"Income survey (IS), 2014",Yes,2009,2014,2017
EST,Estonia,Estonia,Republic of Estonia,EE,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2011: 1 euro = 15.6466 Estonian kroon. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,EE,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,1987–95,Rolling,BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"2012. Population data compiled from administrative registers in combination with other sources of data, such as a sample surveys.","World Health Survey, 2003","Income survey (IS), 2014",Yes,2010,2014,2017
ETH,Ethiopia,Ethiopia,Federal Democratic Republic of Ethiopia,ET,Ethiopian birr,Fiscal year end: July 7; reporting period for national accounts data: FY.,Sub-Saharan Africa,Low income,ET,20015/2016,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology,,2011,BPM5 (Converted into BPM6 by IMF),Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2007,"Demographic and Health Survey, 2016","Expenditure survey/budget survey (ES/BS), 2010/11",,,2014,2017
EUU,European Union,European Union,European Union,EU,,European Union aggregate.,,,EU,,,,,,,,,,,,,,,,,,,,2016
FCS,Fragile and conflict affected situations,Fragile and conflict affected situations,Fragile and conflict affected situations,F1,,"Fragile and conflict affected situations aggregate. Countries with fragile situations are primarily International Development Association-eligible countries and nonmember or inactive countries and territories with a 3.2 or lower harmonized average of the World Bank's Country Policy and Institutional Assessment rating and the corresponding rating by a regional development bank, or that have had a UN or regional peacebuilding and political mission (for example by the African Union, European Union, or Organization of American States) or peacekeeping mission (for example, by the African Union, European Union, North Atlantic Treaty Organization, or Organization of American States) during the last three years. The group excludes IBRD countries (for which the CPIA scores are not publically disclosed); unless there is the presence of a peace-keeping or political/peacebuilding mission. This definition is pursuant to an agreement between the World Bank and other multilateral development banks at the start of the International Development Association 15 round in 2007. The list of countries and territories with fragile situations is imperfect and used here to reflect a complex concept. The World Bank continues to work with partners and client countries to refine the concept.",,,F1,,,,,,,,,,,,,,,,,,,,2016
FIN,Finland,Finland,Republic of Finland,FI,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 5.94573 Finnish markka. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,FI,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,,Rolling,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS+),2010. Population data compiled from administrative registers.,,"Income survey (IS), 2014",Yes,2010,2014,2017
FJI,Fiji,Fiji,Republic of Fiji,FJ,Fijian dollar,National accounts have been revised  based on the Fiji Bureau of Statistics and World Bank estimates. The base year is 2011.,East Asia & Pacific,Upper middle income,FJ,2011,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,2011,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2007,,"Expenditure survey/budget survey (ES/BS), 2013",Yes,2009,2011,2017
FRA,France,France,French Republic,FR,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 6.55957 French franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,FR,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,,Rolling,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS+),2015,,"Income survey (IS), 2014",Yes,2010,2014,2017
FRO,Faroe Islands,Faroe Islands,Faroe Islands,FO,Danish krone,,Europe & Central Asia,High income,FO,,,Value added at basic prices (VAB),,,,,,BPM5 (Converted into BPM6 by IMF),,General trade system,,,2011,,,Yes,,,2017
FSM,Micronesia,"Micronesia, Fed. Sts.",Federated States of Micronesia,FM,U.S. dollar,"Fiscal year ends on September 30; reporting period for national accounts data: FY. Based on the Pacific and Virgin Islands Training Initiative, national accounts data have been revised.",East Asia & Pacific,Lower middle income,FM,2004,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology,,2011 (household consumption only).,BPM6,,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2010,,"Expenditure survey/budget survey (ES/BS), 2013",,,,2017
GAB,Gabon,Gabon,Gabonese Republic,GA,Central African CFA franc,,Sub-Saharan Africa,Upper middle income,GA,2001,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,1993,2011,BPM5 (Converted into BPM6 by IMF),Actual,Special trade system,,Enhanced General Data Dissemination System (e-GDDS),2013,"Demographic and Health Survey, 2012","Core Welfare Indicator Questionnaire Survey (CWIQ)/Integrated household survey (IHS), 2005",,,1995,2017
GBR,United Kingdom,United Kingdom,United Kingdom of Great Britain and Northern Ireland,GB,Pound sterling,,Europe & Central Asia,High income,GB,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,Rolling,BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,,"Income survey (IS), 2014",Yes,2010,2013,2017
GEO,Georgia,Georgia,Georgia,GE,Georgian lari,,Europe & Central Asia,Lower middle income,GE,1996,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,1990–95,2011,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2014,"Georgia Reproductive Health Survey, 2010","Integrated household survey (IHS), 2016",Yes,,2013,2017
GHA,Ghana,Ghana,Republic of Ghana,GH,New Ghanaian cedi,,Sub-Saharan Africa,Lower middle income,GH,2006,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology,1973–87,2011,BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2010,"Malaria Indicator Survey, 2016","Living Standards Measurement Study Survey (LSMS), 2012",,,2003,2017
GIB,Gibraltar,Gibraltar,Gibraltar,GI,Gibraltar pound,,Europe & Central Asia,High income,GI,,,,,,,,,,,,,,2012,,,Yes,,,
GIN,Guinea,Guinea,Republic of Guinea,GN,Guinean franc,Base Year is 2003 and 2010 is the Reference Year and national data revised.,Sub-Saharan Africa,Low income,GN,2003,2010,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology,,2011,BPM6,Estimate,Special trade system,,Enhanced General Data Dissemination System (e-GDDS),2014,"Multiple Indicator Cluster Survey, 2016","Core Welfare Indicator Questionnaire Survey (CWIQ), 2012",,,,2017
GMB,The Gambia,"Gambia, The",Republic of The Gambia,GM,Gambian dalasi,Fiscal year end: June 30; reporting period for national accounts data: CY.Value added is measured in basic prices.,Sub-Saharan Africa,Low income,GM,2004,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology,,2011,BPM5 (Converted into BPM6 by IMF),Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2013,"Demographic and Health Survey, 2013","Integrated household survey (IHS), 2010",,2011/12,2004,2017
GNB,Guinea-Bissau,Guinea-Bissau,Republic of Guinea-Bissau,GW,West African CFA franc,,Sub-Saharan Africa,Low income,GW,2005,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology,,2011,BPM6,Actual,General trade system,,Enhanced General Data Dissemination System (e-GDDS),2009,"Multiple Indicator Cluster Survey, 2014","Core Welfare Indicator Questionnaire Survey (CWIQ), 2010",,,,2017
GNQ,Equatorial Guinea,Equatorial Guinea,Republic of Equatorial Guinea,GQ,Central African CFA franc,,Sub-Saharan Africa,Upper middle income,GQ,2006,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,1965–84,2011,BPM5 (Converted into BPM6 by IMF),,General trade system,Budgetary central government,,2015,"Demographic and Health Survey, 2011","Priority survey (PS), 2006",,2015,,2017
GRC,Greece,Greece,Hellenic Republic,GR,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 340.75 Greek drachma. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,GR,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,,Rolling,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,,"Income survey (IS), 2014",Yes,2009,2013,2017
GRD,Grenada,Grenada,Grenada,GD,East Caribbean dollar,,Latin America & Caribbean,Upper middle income,GD,2006,,Value added at basic prices (VAB),Blend,,Country uses the 1993 System of National Accounts methodology,,2011,BPM6,Actual,Special trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2011,"Reproductive Health Survey, 1985",,Yes,2012,,2017
GRL,Greenland,Greenland,Greenland,GL,Danish krone,,Europe & Central Asia,High income,GL,2010,,,,,,,,,,General trade system,,,2010. Population data compiled from administrative registers.,,,Yes,,,2017
GTM,Guatemala,Guatemala,Republic of Guatemala,GT,Guatemalan quetzal,The country uses chain linked metheodology.,Latin America & Caribbean,Upper middle income,GT,2001,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,,2011,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2002,"Demographic and Health Survey, 2014/15","Living Standards Measurement Study Survey (LSMS), 2014",Yes,2013,1988,2017
GUM,Guam,Guam,Guam,GU,U.S. dollar,,East Asia & Pacific,High income,GU,2009,,Value added at basic prices (VAB),,,Country uses the 1993 System of National Accounts methodology,,2011 (household consumption only).,,,General trade system,,,2010,,,Yes,2007,,2017
GUY,Guyana,Guyana,Co-operative Republic of Guyana,GY,Guyana dollar,,Latin America & Caribbean,Upper middle income,GY,2006,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,Special trade system,,Enhanced General Data Dissemination System (e-GDDS),2012,"Multiple Indicator Cluster Survey, 2014","Integrated household survey (IHS), 1998",,,,2017
HIC,High income,High income,High income,XD,,"High income group aggregate. High-income economies are those in which 2016 GNI per capita was $12,235 or more.",,,XD,,,,,,,,,,,,,,,,,,,,2016
HKG,"Hong Kong SAR, China","Hong Kong SAR, China",Hong Kong Special Administrative Region of the People's Republic of China,HK,Hong Kong dollar,"On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China. Agriculture value added includes mining and quarrying.",East Asia & Pacific,High income,HK,Original chained constant price data are rescaled.,2016,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,2011,BPM6,,General trade system,,Special Data Dissemination Standard (SDDS),2016,,,Yes,,2014,2017
HND,Honduras,Honduras,Republic of Honduras,HN,Honduran lempira,,Latin America & Caribbean,Lower middle income,HN,2000,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology,1988–89,2011,BPM5 (Converted into BPM6 by IMF),Actual,Special trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2013,"Demographic and Health Survey, 2011/12","Integrated household survey (IHS), 2015",,,1996,2017
HPC,Heavily indebted poor countries (HIPC),Heavily indebted poor countries (HIPC),Heavily indebted poor countries (HIPC),XE,,Heavily indebted poor countries aggregate.,,,XE,,,,,,,,,,,,,,,,,,,,2016
HRV,Croatia,Croatia,Republic of Croatia,HR,Croatian kuna,,Europe & Central Asia,High income,HR,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,Rolling,BPM6,,Special trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2011,"World Health Survey, 2003","Income survey (IS), 2015",Yes,"2010. Natural Resources Census, Livestock Census, Livestock and Aquaculture Census or Sample Agricultural Census.",1996,2017
HTI,Haiti,Haiti,Republic of Haiti,HT,Haitian gourde,Fiscal year end: September 30; reporting period for national accounts data: FY.,Latin America & Caribbean,Low income,HT,1986/87,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1968 System of National Accounts methodology,1991,2011,BPM5 (Converted into BPM6 by IMF),Actual,General trade system,,Enhanced General Data Dissemination System (e-GDDS),2003,"Demographic and Health Survey, 2016","Integrated household survey (IHS), 2012",,2008/09,,2017
HUN,Hungary,Hungary,Hungary,HU,Hungarian forint,,Europe & Central Asia,High income,HU,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,Rolling,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"World Health Survey, 2003","Integrated household survey (IHS), 2014",Yes,2010,2013,2017
IBD,IBRD only,IBRD only,IBRD only,XF,,IBRD only group aggregate.,,,XF,,,,,,,,,,,,,,,,,,,,2016
IBT,IDA & IBRD total,IDA & IBRD total,IDA & IBRD total,ZT,,"IDA and IBRD total group aggregate (includes IDA only, IDA blend, and IBRD only).",,,ZT,,,,,,,,,,,,,,,,,,,,2016
IDA,IDA total,IDA total,IDA total,XG,,IDA total group aggregate (includes IDA only and IDA blend).,,,XG,,,,,,,,,,,,,,,,,,,,2016
IDB,IDA blend,IDA blend,IDA blend,XH,,IDA blend group aggregate.,,,XH,,,,,,,,,,,,,,,,,,,,2016
IDN,Indonesia,Indonesia,Republic of Indonesia,ID,Indonesian rupiah,Fiscal year end: March 31; reporting period for national accounts data: CY. Data for Indonesia include Timor-Leste through 1999 unless otherwise noted. Statistics Indonesia revised national accounts based on SNA2008. The base year is 2010. Price valuation is in basic prices.,East Asia & Pacific,Lower middle income,ID,2010,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,2011,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,"Demographic and Health Survey, 2012","Integrated household survey (IHS), 2016",,2013,2013,2017
IDX,IDA only,IDA only,IDA only,XI,,IDA only group aggregate.,,,XI,,,,,,,,,,,,,,,,,,,,2016
IMN,Isle of Man,Isle of Man,Isle of Man,IM,Pound sterling,WB-3 code changed from IMY to IMN to align with ISO code.,Europe & Central Asia,High income,IM,2013,,,,,,,,,,,,,2016,,,Yes,,,
IND,India,India,Republic of India,IN,Indian rupee,Fiscal year end: March 31; reporting period for national accounts data: FY. Based on official government statistics; the new base year is 2011/12. India reports using SNA 2008.,South Asia,Lower middle income,IN,2011/12,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,2011,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"Demographic and Health Survey, 2015/16","Integrated household survey (IHS), 2011/12",,2010/11,2014,2017
IRL,Ireland,Ireland,Ireland,IE,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 0.787564 Irish pound. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,IE,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,,Rolling,BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2016,,"Income survey (IS), 2014",Yes,2010,2012,2017
IRN,Iran,"Iran, Islamic Rep.",Islamic Republic of Iran,IR,Iranian rial,"Fiscal year end: March 20; reporting period for national accounts data: FY. Based on data from the Central Bank of Iran, the new base year is 2011/12.",Middle East & North Africa,Upper middle income,IR,2011,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,1980–2002,2011,BPM5 (Converted into BPM6 by IMF),Actual,Special trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2011,"Iran’s Multiple Indicator Demographic and Health Survey, 2010","Expenditure survey/budget survey (ES/BS), 2014",Yes,2014,2014,2017
IRQ,Iraq,Iraq,Republic of Iraq,IQ,Iraqi dinar,"Based on official government statistics, the new base year is 2007.",Middle East & North Africa,Upper middle income,IQ,2007,,Value added at producer prices (VAP),IBRD,,Country uses the 1968 System of National Accounts methodology,"1997, 2004",2011,BPM6,,Special trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),1997,"Living Standards Measurement Study, 2012","Integrated household survey (IHS), 2012",,2011/12,2011,2017
ISL,Iceland,Iceland,Republic of Iceland,IS,Iceland krona,,Europe & Central Asia,High income,IS,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,Rolling,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"2011. Population data compiled from administrative registers in combination with other sources of data, such as a sample surveys.",,"Income survey (IS), 2014",Yes,2010,2005,2017
ISR,Israel,Israel,State of Israel,IL,Israeli new shekel,,Middle East & North Africa,High income,IL,Original chained constant price data are rescaled.,2015,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,2011,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"2009. Population data compiled from administrative registers in combination with other sources of data, such as a sample surveys.",,"Expenditure survey/budget survey (ES/BS), 2012",Yes,,2014,2017
ITA,Italy,Italy,Italian Republic,IT,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1936.27 Italian lira. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,IT,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,,Rolling,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS+),"2012. Population data compiled from administrative registers in combination with other sources of data, such as a sample surveys.",,"Income survey (IS), 2014",Yes,2010,2014,2017
JAM,Jamaica,Jamaica,Jamaica,JM,Jamaican dollar,,Latin America & Caribbean,Upper middle income,JM,2007,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,,2011,BPM6,Actual,Special trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2011,"Multiple Indicator Cluster Survey, 2011","Living Standards Measurement Study Survey (LSMS), 2012",,2007,1996,2017
JOR,Jordan,Jordan,Hashemite Kingdom of Jordan,JO,Jordanian dinar,Expenditure data from 2010 removed as they are estimates.,Middle East & North Africa,Upper middle income,JO,1994,,Value added at basic prices (VAB),IBRD,,Country uses the 1968 System of National Accounts methodology,,2011,BPM6,Actual,Special trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2015,"Demographic and Health Survey, 2012","Expenditure survey/budget survey (ES/BS), 2010",,2007,2013,2017
JPN,Japan,Japan,Japan,JP,Japanese yen,Fiscal year end: March 31; reporting period for national accounts data: CY.,East Asia & Pacific,High income,JP,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,2011,BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS+),2015,,"Integrated household survey (IHS), 2008",Yes,2010,2012,2017
KAZ,Kazakhstan,Kazakhstan,Republic of Kazakhstan,KZ,Kazakh tenge,,Europe & Central Asia,Upper middle income,KZ,Original chained constant price data are rescaled.,2005,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,1987–95,2011,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2009,"Multiple Indicator Cluster Survey, 2015","Expenditure survey/budget survey (ES/BS), 2015",Yes,2006/07,2013,2017
KEN,Kenya,Kenya,Republic of Kenya,KE,Kenyan shilling,Fiscal year end: June 30; reporting period for national accounts data: CY.,Sub-Saharan Africa,Lower middle income,KE,2009,,Value added at basic prices (VAB),IDA Blend,,Country uses the 2008 System of National Accounts methodology,,2011,BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2009,"Malaria Indicator Survey, 2015","Integrated household survey (IHS), 2005/06",,,2013,2017
KGZ,Kyrgyz Republic,Kyrgyz Republic,Kyrgyz Republic,KG,Kyrgyz som,,Europe & Central Asia,Lower middle income,KG,1995,,Value added at basic prices (VAB),IDA,HIPC,,1990–95,2011,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2009,"Multiple Indicator Cluster Survey, 2014","Integrated household survey (IHS), 2015",Yes,,2012,2017
KHM,Cambodia,Cambodia,Kingdom of Cambodia,KH,Cambodian riel,,East Asia & Pacific,Lower middle income,KH,2000,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology,,2011,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2008,"Demographic and Health Survey, 2014","Integrated household survey (IHS), 2012",,2013,2000,2017
KIR,Kiribati,Kiribati,Republic of Kiribati,KI,Australian dollar,"Based on IMF and World Bank Country team, GDP in current and constant prices have been revised.",East Asia & Pacific,Lower middle income,KI,2006,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology,,2011 (household consumption only).,BPM6,,Special trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2015,"Kiribati Demographic and Health Survey, 2009","Expenditure survey/budget survey (ES/BS), 2006",,,,2017
KNA,St. Kitts and Nevis,St. Kitts and Nevis,St. Kitts and Nevis,KN,East Caribbean dollar,,Latin America & Caribbean,High income,KN,2006,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,,2011,BPM6,,Special trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2011,,,Yes,,,2017
KOR,Korea,"Korea, Rep.",Republic of Korea,KR,Korean won,The new base year is 2010. GDP data are available from 1970 onward while components are revised from 2000 onward only. Historical data in constant prices are linked to preserve growth rates.,East Asia & Pacific,High income,KR,2010,,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,2011,BPM6,,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2015,,"Expenditure survey/budget survey (ES/BS), 2012",Yes,2010,2014,2017
KWT,Kuwait,Kuwait,State of Kuwait,KW,Kuwaiti dinar,Fiscal year end: June 30; reporting period for national accounts data: CY.,Middle East & North Africa,High income,KW,2010,,Value added at basic prices (VAB),,,Country uses the 1968 System of National Accounts methodology,,2011,BPM6,,Special trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2011,"Family Health Survey, 1996",,Yes,,2013,2017
LAC,Latin America & Caribbean (excluding high income),Latin America & Caribbean (excluding high income),Latin America & Caribbean (excluding high income),XJ,,,,,XJ,,,,,,,,,,,,,,,,,,,,2016
LAO,Lao PDR,Lao PDR,Lao People's Democratic Republic,LA,Lao kip,New base Year 2012.,East Asia & Pacific,Lower middle income,LA,2012,,Value added at basic prices (VAB),IDA,,Country uses the 2008 System of National Accounts methodology,,2011,BPM5 (Converted into BPM6 by IMF),Actual,Special trade system,Budgetary central government,,2015,"Multiple Indicator Cluster Survey/Demographic and Health Survey, 2011/12","Expenditure survey/budget survey (ES/BS), 2012",,2010/11,1999,2016
LBN,Lebanon,Lebanon,Lebanese Republic,LB,Lebanese pound,The new reference year is 2010.,Middle East & North Africa,Upper middle income,LB,2010,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,2011,BPM5 (Converted into BPM6 by IMF),Actual,Special trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),1943,"Family Health Survey, 2004","Expenditure survey/budget survey (ES/BS), 2011/12",Yes,2010,2007,2017
LBR,Liberia,Liberia,Republic of Liberia,LR,U.S. dollar,National accounts local currency data have been revised to be reported in U.S. dollars instead of Liberian dollars.,Sub-Saharan Africa,Low income,LR,2000,,Value added at producer prices (VAP),IDA,HIPC,Country uses the 1993 System of National Accounts methodology,,2011,BPM6,Actual,Special trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2008,"Malaria Indicator Survey, 2016","Expenditure survey/budget survey (ES/BS), 2014",,,,2016
LBY,Libya,Libya,Socialist People's Libyan Arab Jamahiriya,LY,Libyan dinar,Official statistics for Libya are not available; national accounts data are based on World Bank estimates.,Middle East & North Africa,Upper middle income,LY,2003,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,1986,,BPM5 (Converted into BPM6 by IMF),,General trade system,,Enhanced General Data Dissemination System (e-GDDS),2006,"Family Health Survey, 2007",,,2014/15,1980,2017
LCA,St. Lucia,St. Lucia,St. Lucia,LC,East Caribbean dollar,St. Lucia has changed the data source from Eastern Caribbean Central Bank to the Central Statistical Office of St. Lucia.,Latin America & Caribbean,Upper middle income,LC,2006,,Value added at basic prices (VAB),Blend,,Country uses the 1993 System of National Accounts methodology,,2011,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2010,"Multiple Indicator Cluster Survey, 2012","Integrated household survey (IHS), 1995",Yes,2007,1997,2017
LCN,Latin America & Caribbean,Latin America & Caribbean,Latin America & Caribbean,ZJ,,,,,ZJ,,,,,,,,,,,,,,,,,,,,2016
LDC,Least developed countries: UN classification,Least developed countries: UN classification,Least developed countries: UN classification,XL,,,,,XL,,,,,,,,,,,,,,,,,,,,2016
LIC,Low income,Low income,Low income,XM,,,,,XM,,,,,,,,,,,,,,,,,,,,2016
LIE,Liechtenstein,Liechtenstein,Principality of Liechtenstein,LI,Swiss franc,,Europe & Central Asia,High income,LI,1990,,Value added at basic prices (VAB),,,,,,,,Special trade system,,,"2015. Population data compiled from administrative registers in combination with other sources of data, such as a sample surveys.",,,Yes,,,
