Country Code,Short Name,Table Name,Long Name,2-alpha code,Currency Unit,Special Notes,Region,Income Group,WB-2 code,National accounts base year,National accounts reference year,SNA price valuation,Lending category,Other groups,System of National Accounts,Alternative conversion factor,PPP survey year,Balance of Payments Manual in use,External debt Reporting status,System of trade,Government Accounting concept,IMF data dissemination standard,Latest population census,Latest household survey,Source of most recent Income and expenditure data,Vital registration complete,Latest agricultural census,Latest industrial data,Latest trade data,Latest water withdrawal data
"DOM","Dominican Republic","Dominican Republic","Dominican Republic","DO","Dominican peso",,"Latin America & Caribbean","Upper middle income","DO","Original chained constant price data are rescaled.","2007","Value added at basic prices (VAB)","IBRD",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","General trade system","Consolidated central government","Enhanced General Data Dissemination System (e-GDDS)","2020 (expected)","Multiple Indicator Cluster Survey, 2019","Integrated household survey (IHS), 2016",,"2015","1984","2017",
"DZA","Algeria","Algeria","People's Democratic Republic of Algeria","DZ","Algerian dinar",,"Middle East & North Africa","Upper middle income","DZ","Original chained constant price data are rescaled.","2001","Value added at basic prices (VAB)","IBRD",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","Special trade system","Consolidated central government","Enhanced General Data Dissemination System (e-GDDS)","2020 (expected)","Multiple Indicator Cluster Survey, 2018/19","Integrated household survey (IHS), 2011",,,"2010","2017",
"EAP","East Asia & Pacific (excluding high income)","East Asia & Pacific (excluding high income)","East Asia & Pacific (excluding high income)","4E",,,,,"4E",,,,,,,,,,,,,,,,,,,,,
"EAR","Early-demographic dividend","Early-demographic dividend","Early-demographic dividend","V2",,"Early-dividend countries are mostly lower-middle-income countries further along the fertility transition. Fertility rates have fallen below four births per woman and the working-age share of the population is likely rising considerably.",,,"V2",,,,,,,,,,,,,,,,,,,,,
"EAS","East Asia & Pacific","East Asia & Pacific","East Asia & Pacific","Z4",,"East Asia and Pacific regional aggregate (includes all income levels).",,,"Z4",,,,,,,,,,,,,,,,,,,,,
"ECA","Europe & Central Asia (excluding high income)","Europe & Central Asia (excluding high income)","Europe & Central Asia (excluding high income)","7E",,,,,"7E",,,,,,,,,,,,,,,,,,,,,
"ECS","Europe & Central Asia","Europe & Central Asia","Europe & Central Asia","Z7",,"Europe and Central Asia regional aggregate (includes all income levels).",,,"Z7",,,,,,,,,,,,,,,,,,,,,
"ECU","Ecuador","Ecuador","Republic of Ecuador","EC","U.S. dollar",,"Latin America & Caribbean","Upper middle income","EC","Original chained constant price data are rescaled.","2018","Value added at basic prices (VAB)","IBRD",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","Special trade system",,"Special Data Dissemination Standard (SDDS)","2020 (expected)","Reproductive Health Survey, 2004","Integrated household survey (IHS), 2018",,,"2008","2018",
"EGY","Egypt","Egypt, Arab Rep.","Arab Republic of Egypt","EG","Egyptian pound","The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30) for the years 1980 and after. The data from 1973 to 1979 refer to the calendar year data. Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY). 

In addition, the World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1965-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.

The national accounts data for Egypt has been updated to reflect local constant prices in the year 2022, moving from the previous reference of 2017.","Middle East & North Africa","Lower middle income","EG","2021/22",,"Value added at basic prices (VAB)","IBRD",,"Country uses the 1993 System of National Accounts methodology",,,"BPM5 (Converted into BPM6 by IMF)","Actual","General trade system","Budgetary central government","Special Data Dissemination Standard (SDDS)","2017","Health Issues Survey, 2015","Expenditure survey/budget survey (ES/BS), 2015","Yes","2009-2010","2012","2018",
"EMU","Euro area","Euro area","Euro area","XC",,"Euro area aggregate.",,,"XC",,,,,,,,,"BPM6",,,,"Special Data Dissemination Standard (SDDS)",,,,,,,,
"ERI","Eritrea","Eritrea","State of Eritrea","ER","Eritrean nakfa","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1992-1997. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.","Sub-Saharan Africa","Low income","ER","2011",,"Value added at basic prices (VAB)","IDA","HIPC","Country uses the 1968 System of National Accounts methodology",,,"BPM5 (Converted into BPM6 by IMF)","Estimate",,,,,"Demographic and Health Survey, 2002","Priority survey (PS), 1993",,,"2012","2003",
"ESP","Spain","Spain","Kingdom of Spain","ES","Euro","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 166.386 Spanish peseta. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","Europe & Central Asia","High income","ES","Original chained constant price data are rescaled.","2015","Value added at basic prices (VAB)",,"Euro area","Country uses the 2008 System of National Accounts methodology",,,"BPM6",,"Special trade system","Consolidated central government","Special Data Dissemination Standard Plus (SDDS Plus)","2011. Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.",,"Income survey (IS), 2015","Yes","2009","2014","2018",
"EST","Estonia","Estonia","Republic of Estonia","EE","Euro","The following irrevocable euro conversion rate entered into force on January 1, 2011: 1 euro = 15.6466 Estonian kroon. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.","Europe & Central Asia","High income","EE","Original chained constant price data are rescaled.","2015","Value added at basic prices (VAB)",,"Euro area","Country uses the 2008 System of National Accounts methodology",,,"BPM6",,"General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2012. Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.","World Health Survey, 2003","Income survey (IS), 2015","Yes","2010","2014","2018",
"ETH","Ethiopia","Ethiopia","Federal Democratic Republic of Ethiopia","ET","Ethiopian birr","The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: July 7). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).","Sub-Saharan Africa","Low income","ET","2015/2016",,"Value added at basic prices (VAB)","IDA","HIPC","Country uses the 2008 System of National Accounts methodology",,,"BPM5 (Converted into BPM6 by IMF)","Actual","General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2020 (expected)","Socioeconomic Survey 2018-2019, Interim Demographic and Health Survey, 2019","Expenditure survey/budget survey (ES/BS), 2015/16",,,"2014","2016",
"EUU","European Union","European Union","European Union","EU",,"European Union aggregate.",,,"EU",,,,,,,,,,,,,,,,,,,,,
"FCS","Fragile and conflict affected situations","Fragile and conflict affected situations","Fragile and conflict affected situations","F1",,"Countries are distinguished based on the nature and severity of issues they face. The classification uses the following categories: - Countries with high levels of institutional and social fragility, identified based on publicly available indicators that measure the quality of policy and institutions and manifestations of fragility. - Countries affected by violent conflict, identified based on a threshold number of conflict-related deaths relative to the population. This category includes two sub-categories based on the intensity of violence: countries in high-intensity conflict and countries in medium-intensity conflict. For more information, please visit https://www.worldbank.org/en/topic/fragilityconflictviolence/brief/harmonized-list-of-fragile-situations.",,,"F1",,,,,,,,,,,,,,,,,,,,,
"FIN","Finland","Finland","Republic of Finland","FI","Euro","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 5.94573 Finnish markka. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","Europe & Central Asia","High income","FI","Original chained constant price data are rescaled.","2015","Value added at basic prices (VAB)",,"Euro area","Country uses the 2008 System of National Accounts methodology",,,"BPM6",,"Special trade system","Consolidated central government","Special Data Dissemination Standard Plus (SDDS Plus)","2020 (expected). Population figures compiled from administrative registers.",,"Income survey (IS), 2015","Yes","2010","2014","2018",
"FJI","Fiji","Fiji","Republic of Fiji","FJ","Fijian dollar",,"East Asia & Pacific","Upper middle income","FJ","2014",,"Value added at basic prices (VAB)","Blend",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2017",,"Expenditure survey/budget survey (ES/BS), 2013","Yes","2009","2011","2018",
"FRA","France","France","French Republic","FR","Euro","The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 6.55957 French franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","Europe & Central Asia","High income","FR","Original chained constant price data are rescaled.","2015","Value added at basic prices (VAB)",,"Euro area","Country uses the 2008 System of National Accounts methodology",,,"BPM6",,"Special trade system","Consolidated central government","Special Data Dissemination Standard Plus (SDDS Plus)","2016",,"Income survey (IS), 2015","Yes","2010","2014","2018",
"FRO","Faroe Islands","Faroe Islands","Faroe Islands","FO","Danish krone",,"Europe & Central Asia","High income","FO","Original chained constant price data are rescaled.","2010","0",,,"Country uses the 1993 System of National Accounts methodology",,,"BPM5 (Converted into BPM6 by IMF)",,,,,"2011",,,"Yes",,,"2009",
"FSM","Micronesia","Micronesia, Fed. Sts.","Federated States of Micronesia","FM","U.S. dollar","Fiscal year ends on September 30; reporting period for national accounts data: FY. The source for national accounts data is the Pacific and Virgin Islands Training Initiative.","East Asia & Pacific","Lower middle income","FM","2003/04",,"Value added at basic prices (VAB)","IDA",,"Country uses the 1993 System of National Accounts methodology",,,"BPM6",,,"Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2020 (expected)",,"Expenditure survey/budget survey (ES/BS), 2013",,,,"2013",
"GAB","Gabon","Gabon","Gabonese Republic","GA","Central African CFA franc",,"Sub-Saharan Africa","Upper middle income","GA","2001",,"Value added at basic prices (VAB)","IBRD",,"Country uses the 1993 System of National Accounts methodology",,,"BPM5 (Converted into BPM6 by IMF)","Actual",,,"Enhanced General Data Dissemination System (e-GDDS)","2013","Demographic and Health Survey, 2019/20","Living Standards Measurement Study Survey (LSMS)/Integrated household survey (IHS), 2017",,,"1995","2009",
"GBR","United Kingdom","United Kingdom","United Kingdom of Great Britain and Northern Ireland","GB","Pound sterling",,"Europe & Central Asia","High income","GB","Original chained constant price data are rescaled.","2015","Value added at basic prices (VAB)",,,"Country uses the 2008 System of National Accounts methodology",,,"BPM6",,"General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2011",,"Income survey (IS), 2015","Yes","2010","2013","2018",
"GEO","Georgia","Georgia","Georgia","GE","Georgian lari","Includes self-governed areas only, which mostly exclude Abkhazia and South Ossetia, but small areas in Abkhazia and South Ossetia are included before 2008 or 2009 because of the changes in self-governed areas.","Europe & Central Asia","Upper middle income","GE","Original chained constant price data are rescaled.","2019","Value added at basic prices (VAB)","IBRD",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2014","Multiple Indicator Cluster Survey, 2018","Integrated household survey (IHS), 2017","Yes","2014","2013","2018",
"GHA","Ghana","Ghana","Republic of Ghana","GH","New Ghanaian cedi","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1974-1987. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.","Sub-Saharan Africa","Lower middle income","GH","2013",,"Value added at basic prices (VAB)","IDA","HIPC","Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","General trade system","Consolidated central government","Enhanced General Data Dissemination System (e-GDDS)","2020 (expected)","Malaria Indicator Survey, 2019","Living Standards Measurement Study Survey (LSMS), 2017",,,"2003","2018",
"GIB","Gibraltar","Gibraltar","Gibraltar","GI","Gibraltar pound","The DEC conversion is not reported when national accounts data are unavailable.","Europe & Central Asia","High income","GI",,,,,,,,,,,,,,"2012",,,"Yes",,,,
"GIN","Guinea","Guinea","Republic of Guinea","GN","Guinean franc",,"Sub-Saharan Africa","Lower middle income","GN","Original chained constant price data are rescaled.","2010","Value added at basic prices (VAB)","IDA","HIPC","Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","Special trade system",,"Enhanced General Data Dissemination System (e-GDDS)","2014","Malaria Indicator Survey, 2021","Core Welfare Indicator Questionnaire Survey (CWIQ), 2012",,,,"2015",
"GMB","The Gambia","Gambia, The","Republic of The Gambia","GM","Gambian dalasi",,"Sub-Saharan Africa","Low income","GM","2013",,"Value added at basic prices (VAB)","IDA","HIPC","Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","General trade system","Consolidated central government","Enhanced General Data Dissemination System (e-GDDS)","2013","Demographic and Health Survey, 2019/20","Integrated household survey (IHS), 2015",,"2011-2012","2004","2018",
"GNB","Guinea-Bissau","Guinea-Bissau","Republic of Guinea-Bissau","GW","West African CFA franc",,"Sub-Saharan Africa","Low income","GW","2015",,"Value added at basic prices (VAB)","IDA","HIPC","Country uses the 1993 System of National Accounts methodology",,,"BPM6","Actual",,,"Enhanced General Data Dissemination System (e-GDDS)","2009","Multiple Indicator Cluster Survey, 2018/19","Core Welfare Indicator Questionnaire Survey (CWIQ), 2010",,,,"2005",
"GNQ","Equatorial Guinea","Equatorial Guinea","Republic of Equatorial Guinea","GQ","Central African CFA franc",,"Sub-Saharan Africa","Upper middle income","GQ","2006",,"Value added at basic prices (VAB)","IBRD",,"Country uses the 1993 System of National Accounts methodology",,,"BPM5 (Converted into BPM6 by IMF)",,,"Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2015","Demographic and Health Survey, 2011","Priority survey (PS), 2006",,"2015",,,
"GRC","Greece","Greece","Hellenic Republic","GR","Euro","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 340.75 Greek drachma. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","Europe & Central Asia","High income","GR","Original chained constant price data are rescaled.","2015","Value added at basic prices (VAB)",,"Euro area","Country uses the 2008 System of National Accounts methodology",,,"BPM6",,"Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2011",,"Income survey (IS), 2015","Yes","2009","2013","2018",
"GRD","Grenada","Grenada","Grenada","GD","East Caribbean dollar",,"Latin America & Caribbean","Upper middle income","GD","2006",,"Value added at basic prices (VAB)","Blend",,"Country uses the 1993 System of National Accounts methodology",,,"BPM6","Actual",,"Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2011","Reproductive Health Survey, 1985",,"Yes","2012",,"2009",
"GRL","Greenland","Greenland","Greenland","GL","Danish krone",,"Europe & Central Asia","High income","GL","Original chained constant price data are rescaled.","2010","0",,,"Country uses the 2008 System of National Accounts methodology",,,,,"General trade system",,,"2020 (expected). Population figures compiled from administrative registers.",,,"Yes",,,"2018",
"GTM","Guatemala","Guatemala","Republic of Guatemala","GT","Guatemalan quetzal","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1985-2003. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.","Latin America & Caribbean","Upper middle income","GT","Original chained constant price data are rescaled.","2013","Value added at basic prices (VAB)","IBRD",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","Special trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2018","Demographic and Health Survey, 2014/15","Living Standards Measurement Study Survey (LSMS), 2014","Yes",,"1988","2017",
"GUM","Guam","Guam","Guam","GU","U.S. dollar",,"East Asia & Pacific","High income","GU","2012",,"Value added at basic prices (VAB)",,,"Country uses the 1993 System of National Accounts methodology",,,,,,,,"2020 (expected)",,,"Yes","2007",,,
"GUY","Guyana","Guyana","Co-operative Republic of Guyana","GY","Guyana dollar",,"Latin America & Caribbean","High income","GY","2012",,"Value added at basic prices (VAB)","IDA","HIPC","Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","Special trade system",,"Enhanced General Data Dissemination System (e-GDDS)","2012","Multiple Indicator Cluster Survey, 2019/20","Integrated household survey (IHS), 1998",,,,"2018",
"HIC","High income","High income","High income","XD",,"High income group aggregate. High-income economies are those in which 2023 Atlas GNI per capita was more than $14,005.",,,"XD",,,,,,,,,,,,,,,,,,,,,
"HKG","Hong Kong SAR, China","Hong Kong SAR, China","Hong Kong Special Administrative Region of the People's Republic of China","HK","Hong Kong dollar","On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China. Agriculture value added includes mining and quarrying.","East Asia & Pacific","High income","HK","Original chained constant price data are rescaled.","2022","Value added at basic prices (VAB)",,,"Country uses the 2008 System of National Accounts methodology",,,"BPM6",,"General trade system",,"Special Data Dissemination Standard (SDDS)","2016. The population by-censuses for 1986 and 1996 were based on one-in-seven sample of the population, while that for 2006 was based on one-in-ten sample of the population.",,,"Yes",,"2014","2018",
"HND","Honduras","Honduras","Republic of Honduras","HN","Honduran lempira","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1988-1989. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.","Latin America & Caribbean","Lower middle income","HN","2000",,"Value added at basic prices (VAB)","IDA","HIPC","Country uses the 1993 System of National Accounts methodology",,,"BPM5 (Converted into BPM6 by IMF)","Actual","Special trade system","Consolidated central government","Enhanced General Data Dissemination System (e-GDDS)","2013","Multiple Indicator Cluster Survey, 2019","Integrated household survey (IHS), 2017",,,"1996","2017",
"HPC","Heavily indebted poor countries (HIPC)","Heavily indebted poor countries (HIPC)","Heavily indebted poor countries (HIPC)","XE",,"The Heavily Indebted Poor Countries (HIPC) refer to countries that participated in the HIPC Initiative, launched in 1996 by the IMF and World Bank to reduce external debt burdens of the most heavily indebted poor countries at that time to sustainable levels. To date, the majority of the countries completed the program, receiving 76 billion in debt-service relief over time. For more details, visit https://www.imf.org/en/About/Factsheets/Sheets/2016/08/01/16/11/Debt-Relief-Under-the-Heavily-Indebted-Poor-Countries-Initiative.
Data are aggregates for HIPC.",,,"XE",,,,,,,,,,,,,,,,,,,,,
"HRV","Croatia","Croatia","Republic of Croatia","HR","Euro","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2023: 1 euro = 7.53450 Croatian kuna. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.","Europe & Central Asia","High income","HR","Original chained constant price data are rescaled.","2021","Value added at basic prices (VAB)","IBRD","Euro area","Country uses the 2008 System of National Accounts methodology",,,"BPM6",,"Special trade system","Budgetary central government","Special Data Dissemination Standard (SDDS)","2011","World Health Survey, 2003","Income survey (IS), 2015","Yes","2010. Economic Census, Natural Resources Census, Livestock Census, Livestock and Aquaculture Census or Sample Agricultural Census.","1996","2018",
"HTI","Haiti","Haiti","Republic of Haiti","HT","Haitian gourde","The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: September 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).","Latin America & Caribbean","Lower middle income","HT","2011/12",,"Value added at basic prices (VAB)","IDA","HIPC","Country uses the 2008 System of National Accounts methodology",,,"BPM5 (Converted into BPM6 by IMF)","Actual",,,"Enhanced General Data Dissemination System (e-GDDS)","2003","Demographic and Health Survey, 2016/17","Integrated household survey (IHS), 2012",,"2008-2009",,,
"HUN","Hungary","Hungary","Hungary","HU","Hungarian forint",,"Europe & Central Asia","High income","HU","Original chained constant price data are rescaled.","2015","Value added at basic prices (VAB)",,,"Country uses the 2008 System of National Accounts methodology",,,"BPM6",,"Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2011","World Health Survey, 2003","Income survey (IS), 2014","Yes","2010","2013","2018",
"IBD","IBRD only","IBRD only","IBRD only","XF",,"IBRD only group aggregate.",,,"XF",,,,,,,,,,,,,,,,,,,,,
"IBT","IDA & IBRD total","IDA & IBRD total","IDA & IBRD total","ZT",,"IDA and IBRD total group aggregate (includes IDA only, IDA blend, and IBRD only).",,,"ZT",,,,,,,,,,,,,,,,,,,,,
"IDA","IDA total","IDA total","IDA total","XG",,"IDA total group aggregate (includes IDA only and IDA blend).",,,"XG",,,,,,,,,,,,,,,,,,,,,
"IDB","IDA blend","IDA blend","IDA blend","XH",,"IDA blend group aggregate.",,,"XH",,,,,,,,,,,,,,,,,,,,,
"IDN","Indonesia","Indonesia","Republic of Indonesia","ID","Indonesian rupiah","Fiscal year end: March 31; reporting period for national accounts data: CY. Data for Indonesia include Timor-Leste through 1999 unless otherwise noted.","East Asia & Pacific","Upper middle income","ID","2010",,"Value added at basic prices (VAB)","IBRD",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2020 (expected)","Demographic and Health Survey, 2017; Indonesia Young Adult Reproductive Health Survey , 2017","Integrated household survey (IHS), 2017",,"2013","2013","2018",
"IDX","IDA only","IDA only","IDA only","XI",,"IDA only group aggregate.",,,"XI",,,,,,,,,,,,,,,,,,,,,
"IMN","Isle of Man","Isle of Man","Isle of Man","IM","Pound sterling","Classification for years after 2012 was adjusted and figures were re-estimated by the World Bank, based on the detailed data published by the Cabinet Office, and are not consistent with data for 2011 and before.","Europe & Central Asia","High income","IM","Original chained constant price data are rescaled.","2015","Value added at basic prices (VAB)",,,"Country uses the 2008 System of National Accounts methodology",,,,,,,,"2016",,,"Yes",,,,
"IND","India","India","Republic of India","IN","Indian rupee","The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: March 31). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).","South Asia","Lower middle income","IN","2011/12",,"Value added at basic prices (VAB)","IBRD",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2011","Demographic and Health Survey, 2019/20","Integrated household survey (IHS), 2011/12",,"2010-2011","2014","2018",
"IRL","Ireland","Ireland","Ireland","IE","Euro","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 0.787564 Irish pound. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","Europe & Central Asia","High income","IE","Original chained constant price data are rescaled.","2015","Value added at basic prices (VAB)",,"Euro area","Country uses the 2008 System of National Accounts methodology",,,"BPM6",,"General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2016",,"Income survey (IS), 2015","Yes","2010","2012","2018",
"IRN","Iran","Iran, Islamic Rep.","Islamic Republic of Iran","IR","Iranian rial","The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: March 20).  

The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to 1972-2023. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.","Middle East & North Africa","Upper middle income","IR","2016/17",,"Value added at basic prices (VAB)","IBRD",,"Country uses the 2008 System of National Accounts methodology",,,"BPM5 (Converted into BPM6 by IMF)","Estimate","Special trade system","Consolidated central government","Enhanced General Data Dissemination System (e-GDDS)","2016","Iran’s Multiple Indicator Demographic and Health Survey, 2010","Expenditure survey/budget survey (ES/BS), 2016","Yes","2014","2014","2017",
"IRQ","Iraq","Iraq","Republic of Iraq","IQ","Iraqi dinar",,"Middle East & North Africa","Upper middle income","IQ","2007",,"Value added at producer prices (VAP)","IBRD",,"Country uses the 1968 System of National Accounts methodology",,,"BPM6","Actual","Special trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","1997","Multiple Indicator Cluster Survey, 2018","Integrated household survey (IHS), 2012",,"2011-2012","2011","2014",
"ISL","Iceland","Iceland","Republic of Iceland","IS","Iceland krona",,"Europe & Central Asia","High income","IS","Original chained constant price data are rescaled.","2015","Value added at basic prices (VAB)",,,"Country uses the 2008 System of National Accounts methodology",,,"BPM6",,"Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2011. Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.",,"Income survey (IS), 2014","Yes","2010","2005","2018",
"ISR","Israel","Israel","State of Israel","IL","Israeli new shekel",,"Middle East & North Africa","High income","IL","Original chained constant price data are rescaled.","2015","Value added at basic prices (VAB)",,,"Country uses the 2008 System of National Accounts methodology",,,"BPM6",,"Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2020 (expected). Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.",,"Expenditure survey/budget survey (ES/BS), 2012","Yes",,"2014","2018",
"ITA","Italy","Italy","Italian Republic","IT","Euro","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1936.27 Italian lira. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","Europe & Central Asia","High income","IT","Original chained constant price data are rescaled.","2015","Value added at basic prices (VAB)",,"Euro area","Country uses the 2008 System of National Accounts methodology",,,"BPM6",,"Special trade system","Consolidated central government","Special Data Dissemination Standard Plus (SDDS Plus)","2012. Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.",,"Income survey (IS), 2015","Yes","2010","2014","2018",
"JAM","Jamaica","Jamaica","Jamaica","JM","Jamaican dollar",,"Latin America & Caribbean","Upper middle income","JM","2007",,"Value added at basic prices (VAB)","IBRD",,"Country uses the 1993 System of National Accounts methodology",,,"BPM6","Actual","Special trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2011","Multiple Indicator Cluster Survey, 2011","Living Standards Measurement Study Survey (LSMS), 2012",,"2007","1996","2017",
"JOR","Jordan","Jordan","Hashemite Kingdom of Jordan","JO","Jordanian dinar",,"Middle East & North Africa","Lower middle income","JO","2016",,"Value added at basic prices (VAB)","IBRD",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","Special trade system","Budgetary central government","Special Data Dissemination Standard (SDDS)","2015","Demographic and Health Survey, 2017/18","Expenditure survey/budget survey (ES/BS), 2010",,"2007","2013","2018",
