source_id,source_name,pillar,SPI_indicator_id,spi_indicator_name,spi_indicator_description,spi_indicator_scoring,websites
RAW.D2.2.Terms.of.use,Raw score for ODIN Terms of Use score,,Dimension 2.2,Online access,ODW Open Data Index score,,
RAW.D2.2.Openness.subscore,Raw score for ODIN Open Data Openness score,,Dimension 2.2,Online access,ODW Open Data Index score,,
RAW.D2.4.NADA,Raw info for NADA metadata,,Dimension 2.4,Data services,NADA/NSO websites,,
RAW.D2.4.NADA_text,NADA metadata link,,Dimension 2.4,Data services,NADA/NSO websites,,
RAW.D4.1.1.POPU.CENSUS,Years of Population & Housing census,,Dimension 4.1,censuses and surveys,SPI scores for sources dimension,,
RAW.D4.1.2.AGRI.CENSUS,Years of Agriculture census,,Dimension 4.1,censuses and surveys,SPI scores for sources dimension,,
RAW.D4.1.3.BIZZ.CENSUS,Years of Business/establishment census,,Dimension 4.1,censuses and surveys,SPI scores for sources dimension,,
RAW.D4.1.4.HOUS.SURVEYS,"Years of Household Survey on income, etc",,Dimension 4.1,censuses and surveys,SPI scores for sources dimension,,
RAW.D4.1.5.AGRI.SURVEYS,Years of Agriculture survey,,Dimension 4.1,censuses and surveys,SPI scores for sources dimension,,
RAW.D4.1.6.LABR.SURVEYS,Years of Labor Force Survey,,Dimension 4.1,censuses and surveys,SPI scores for sources dimension,,
RAW.D4.1.7.HLTH.SURVEYS,Years of Health/Demographic survey,,Dimension 4.1,censuses and surveys,SPI scores for sources dimension,,
RAW.D4.1.8.BIZZ.SURVEYS,Years of Business/establishment survey,,Dimension 4.1,censuses and surveys,SPI scores for sources dimension,,
RAW.D4.2.1.SPL,Administrative Data for Social Protection Admin (ASPIRE),,Dimension 4.2,administrative data,Density of administrative data available on ASPIRE databases,,
RAW.D4.2.2.EDU.NAS,Administrative Data for Education (UNESCO),,Dimension 4.2,administrative data,Administration of a nationally-representative learning assessment (a) in Grade 2 or 3; (b) at the end of primary education; and (c) at the end of lower secondary education,,
RAW.D4.2.2.EDU.OOS,Administrative Data for Education (UNESCO),,Dimension 4.2,administrative data,administrative data available on Out-of-school rate by school age and sex,,
RAW.D4.2.2.EDU.ORGL,Administrative Data for Education (UNESCO),,Dimension 4.2,administrative data,"administrative data available on Participation rate in organized learning (one year before the official primary entry age), by sex",,
RAW.D4.2.3.CRVS,Administrative Data for CRVS (WDI),,Dimension 4.2,administrative data,indicator on quality of vital registration data,,
RAW.D4.2.4.LBR.INSUR,Administrative Data for Labor Admin (ILO),,Dimension 4.2,administrative data,Administrative Data from ILO on Insurance records,,
RAW.D4.2.4.LBR.INSP,Administrative Data for Labor Admin (ILO),,Dimension 4.2,administrative data,Administrative Data from ILO on Labour inspectorate records,,
RAW.D4.2.4.LBR.EMPORG,Administrative Data for Labor Admin (ILO),,Dimension 4.2,administrative data,Administrative Data from ILO on Records of employers' organizations,,
RAW.D4.2.4.LBR.EMPOFF,Administrative Data for Labor Admin (ILO),,Dimension 4.2,administrative data,Administrative Data from ILO on Employment office records,,
RAW.D4.2.4.LBR.WRKORG,Administrative Data for Labor Admin (ILO),,Dimension 4.2,administrative data,Administrative Data from ILO on Records of workers' organizations,,
RAW.D4.2.4.LBR.OTHER,Administrative Data for Labor Admin (ILO),,Dimension 4.2,administrative data,Administrative Data from ILO on Other administrative records,,
RAW.D4.3.GEO.first.admin.level,Raw score for Geospatial data available at 1st Admin Level,,Dimension 3.3,environmental statistics,SDG goals 13-15,,
RAW.D4.3.GEO.second.admin.level,Raw score for Geospatial data available at 2nd Admin Level,,Dimension 3.3,environmental statistics,SDG goals 13-16,,
RAW.5.1.DILG,Raw info for Legislation Indicator based on PARIS21 indicators on SDG 17.18.2,,Dimension 5.1,Legislation and governance,"New indicator based on PARIS21 indicators on SDG 17.18.2 (national statistical legislation compliance with UN Fundamental Principles of Official Statistics), existence of National Statistical Council, national statistical strategy generation, national statistical plan. Also include some other legislative aspects that foster good use of statistics eg freedom of information, privacy/transparency, good governance (eg free and fair elections).",,
RAW.D5.2.1.SNAU,Raw info for System of national accounts in use,,Dimension 5.2,standards,SPI scores for standards and methods dimension,,
RAW.D5.2.2.NABY,Raw info for National Accounts base year,,Dimension 5.2,standards,SPI scores for standards and methods dimension,,
RAW.D5.2.3.CNIN,Raw info for Classification of national industry,,Dimension 5.2,standards,SPI scores for standards and methods dimension,,
RAW.D5.2.4.CPIBY,Raw info for CPI base year,,Dimension 5.2,standards,SPI scores for standards and methods dimension,,
RAW.D5.2.5.HOUS,Raw info for Classification of household consumption,,Dimension 5.2,standards,SPI scores for standards and methods dimension,,
RAW.D5.2.6.EMPL,Raw info for Classification of status of employment,,Dimension 5.2,standards,SPI scores for standards and methods dimension,,
RAW.D5.2.7.CGOV,Raw info for Central government accounting status,,Dimension 5.2,standards,SPI scores for standards and methods dimension,,
RAW.D5.2.8.FINA,Raw info for Compilation of government finance statistics,,Dimension 5.2,standards,SPI scores for standards and methods dimension,,
RAW.D5.2.9.MONY,Raw info for Compilation of monetary and financial statistics,,Dimension 5.2,standards,SPI scores for standards and methods dimension,,
RAW.D5.2.10.GSBP,Raw info for Business process,,Dimension 5.2,standards,SPI scores for standards and methods dimension,,
RAW.5.3.DISK,Raw info for  PARIS21 indicator on data literacy,,Dimension 5.3,Skills,New indicator drawing on PARIS21 indicators such as statistical society presence and data literacy. PARIS21 may also have material on Internal skills capacity and numbers of statistically qualified people in the country (could get this from censuses perhaps?).,,
RAW.5.4.DIPN,Raw info for NSO Website,,Dimension 5.4,Partnerships,New indicator based on textual analysis of NSS reports/websites for references to partner organisations.,,
RAW.5.5.DIFI,Raw info for Finance Indicator based on PARIS21 indicators on SDG 17.18.3 & SDG 17.19.1,,Dimension 5.5,Finance,Indicator based on PARIS21 SDG indicators (SDG 17.18.3 (national statistical plan that is fully funded and under implementation) and SDG 17.19.1 (value of resources made available to strengthen statistical capacity)). Could also incorporate indicator of NSO budget as a percentage of GDP.,,
