Year,Region,Region code,Country,Country code,Data category,Indicator coverage and disaggregation,Data available last 5 years,Data available last 10 years,First administrative level,Second administrative level,Coverage subscore,Machine readability,Non-proprietary,Download options,Metadata availability,Terms of use,Openness subscore,Overall score
2024,Middle Africa,AFM,Gabon,GAB,Energy,50,0,50,-,-,33.3,0,100,0,50,0,30,31.2
2024,Middle Africa,AFM,Gabon,GAB,Pollution,0,0,0,-,-,0,0,0,0,0,0,0,0
2024,Middle Africa,AFM,Gabon,GAB,Built environment,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Middle Africa,AFM,Gabon,GAB,Environment subscore,50,0,30,0,0,20,0,60,20,30,0,22,21.1
2024,Middle Africa,AFM,Gabon,GAB,All categories,55.5,25,40.7,9.2,0,30.4,38.6,83.3,44.8,36.9,0,40.7,36
2024,Middle Africa,AFM,Sao Tome and Principe,STP,Population and vital statistics,50,50,50,50,-,50,0,100,50,100,0,50,50
2024,Middle Africa,AFM,Sao Tome and Principe,STP,Education facilities,100,50,50,50,-,62.5,50,100,0,50,0,40,50
2024,Middle Africa,AFM,Sao Tome and Principe,STP,Education outcomes,50,50,50,50,-,50,0,100,0,50,0,30,38.9
2024,Middle Africa,AFM,Sao Tome and Principe,STP,Health facilities,100,50,50,0,-,50,50,100,50,50,0,50,50
2024,Middle Africa,AFM,Sao Tome and Principe,STP,Health outcomes,50,50,0,50,-,37.5,0,100,50,50,0,40,38.9
2024,Middle Africa,AFM,Sao Tome and Principe,STP,Reproductive health,100,50,0,100,-,62.5,0,100,50,50,0,40,50
2024,Middle Africa,AFM,Sao Tome and Principe,STP,Food security and nutrition,100,50,0,-,-,50,0,100,50,100,0,50,50
2024,Middle Africa,AFM,Sao Tome and Principe,STP,Gender statistics,50,50,0,50,-,37.5,0,100,50,50,0,40,38.9
2024,Middle Africa,AFM,Sao Tome and Principe,STP,Crime and justice,0,0,0,0,-,0,0,0,0,0,0,0,0
2024,Middle Africa,AFM,Sao Tome and Principe,STP,Poverty and income,0,0,0,0,-,0,0,0,0,0,0,0,0
2024,Middle Africa,AFM,Sao Tome and Principe,STP,Social statistics subscore,60,40,20,38.9,-,39.7,10,80,30,50,0,34,36.5
2024,Middle Africa,AFM,Sao Tome and Principe,STP,National accounts,50,50,50,-,-,50,100,100,50,50,0,60,56.2
2024,Middle Africa,AFM,Sao Tome and Principe,STP,Labor,50,50,0,0,-,25,0,100,50,50,0,40,33.3
2024,Middle Africa,AFM,Sao Tome and Principe,STP,Price indexes,50,50,50,-,-,50,100,100,50,50,0,60,56.2
2024,Middle Africa,AFM,Sao Tome and Principe,STP,Government finance,100,100,100,-,-,100,100,100,50,50,0,60,75
2024,Middle Africa,AFM,Sao Tome and Principe,STP,Money and banking,100,100,100,-,-,100,100,100,50,50,0,60,75
2024,Middle Africa,AFM,Sao Tome and Principe,STP,International trade,100,100,100,-,-,100,100,100,50,50,0,60,75
2024,Middle Africa,AFM,Sao Tome and Principe,STP,Balance of payments,100,100,100,-,-,100,100,100,50,50,0,60,75
2024,Middle Africa,AFM,Sao Tome and Principe,STP,Digital Connectivity,-,-,-,-,-,-,-,-,-,-,-,-,-
2024,Middle Africa,AFM,Sao Tome and Principe,STP,Economic and financial statistics subscore,78.6,78.6,71.4,0,-,72.7,85.7,100,50,50,0,57.1,63.2
2024,Middle Africa,AFM,Sao Tome and Principe,STP,Agriculture and land use,50,0,50,0,-,25,0,100,50,50,0,40,33.3
2024,Middle Africa,AFM,Sao Tome and Principe,STP,Resource use,50,0,50,-,-,33.3,0,100,50,50,0,40,37.5
2024,Middle Africa,AFM,Sao Tome and Principe,STP,Energy,50,50,50,-,-,50,100,100,50,50,0,60,56.2
2024,Middle Africa,AFM,Sao Tome and Principe,STP,Pollution,50,50,50,-,-,50,100,100,50,50,0,60,56.2
2024,Middle Africa,AFM,Sao Tome and Principe,STP,Built environment,100,50,0,100,-,62.5,0,100,50,100,0,50,55.6
2024,Middle Africa,AFM,Sao Tome and Principe,STP,Environment subscore,60,30,40,50,-,44.1,40,100,50,60,0,50,47.6
2024,Middle Africa,AFM,Sao Tome and Principe,STP,All categories,66.2,49.5,43.8,38.1,-,51.1,45.2,93.3,43.3,53.3,0,47,48.7
2024,Northern Africa,AFN,Algeria,DZA,Population and vital statistics,100,100,50,100,0,70,0,100,0,50,0,30,50
2024,Northern Africa,AFN,Algeria,DZA,Education facilities,50,50,50,50,0,40,0,100,0,50,0,30,35
2024,Northern Africa,AFN,Algeria,DZA,Education outcomes,50,0,50,50,0,30,0,100,0,50,0,30,30
2024,Northern Africa,AFN,Algeria,DZA,Health facilities,50,0,50,0,0,20,0,100,0,50,0,30,25
2024,Northern Africa,AFN,Algeria,DZA,Health outcomes,50,0,50,0,0,20,0,100,0,50,0,30,25
2024,Northern Africa,AFN,Algeria,DZA,Reproductive health,50,50,50,0,0,30,0,100,50,50,0,40,35
2024,Northern Africa,AFN,Algeria,DZA,Food security and nutrition,0,0,0,0,-,0,0,0,0,0,0,0,0
2024,Northern Africa,AFN,Algeria,DZA,Gender statistics,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Northern Africa,AFN,Algeria,DZA,Crime and justice,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Northern Africa,AFN,Algeria,DZA,Poverty and income,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Northern Africa,AFN,Algeria,DZA,Social statistics subscore,35,20,30,20,0,21.4,0,60,5,30,0,19,20.2
2024,Northern Africa,AFN,Algeria,DZA,National accounts,50,50,50,0,-,37.5,50,50,0,50,0,30,33.3
2024,Northern Africa,AFN,Algeria,DZA,Labor,100,50,0,0,0,30,0,100,0,50,0,30,30
2024,Northern Africa,AFN,Algeria,DZA,Price indexes,50,50,50,0,-,37.5,0,100,50,50,0,40,38.9
2024,Northern Africa,AFN,Algeria,DZA,Government finance,100,0,50,0,-,37.5,0,100,50,50,0,40,38.9
2024,Northern Africa,AFN,Algeria,DZA,Money and banking,100,100,50,-,-,83.3,0,100,0,50,0,30,50
2024,Northern Africa,AFN,Algeria,DZA,International trade,50,50,50,-,-,50,0,100,50,50,0,40,43.8
2024,Northern Africa,AFN,Algeria,DZA,Balance of payments,100,100,100,-,-,100,100,100,50,0,0,50,68.8
2024,Northern Africa,AFN,Algeria,DZA,Digital Connectivity,-,-,-,-,-,-,-,-,-,-,-,-,-
2024,Northern Africa,AFN,Algeria,DZA,Economic and financial statistics subscore,78.6,57.1,50,0,0,50,21.4,92.9,28.6,42.9,0,37.1,42.6
2024,Northern Africa,AFN,Algeria,DZA,Agriculture and land use,50,0,50,50,0,30,0,100,50,50,0,40,35
2024,Northern Africa,AFN,Algeria,DZA,Resource use,100,50,50,0,-,50,0,100,50,50,0,40,44.4
2024,Northern Africa,AFN,Algeria,DZA,Energy,50,0,50,-,-,33.3,0,100,50,50,0,40,37.5
2024,Northern Africa,AFN,Algeria,DZA,Pollution,0,0,0,-,-,0,0,0,0,0,0,0,0
2024,Northern Africa,AFN,Algeria,DZA,Built environment,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Northern Africa,AFN,Algeria,DZA,Environment subscore,40,10,30,16.7,0,22.5,0,60,30,30,0,24,23.3
2024,Northern Africa,AFN,Algeria,DZA,All categories,51.2,29,36.7,13.8,0,30.2,7.1,71,21.2,34.3,0,26.7,28.3
2024,Northern Africa,AFN,Egypt,EGY,Population and vital statistics,100,100,100,50,50,80,0,100,50,50,0,40,60
2024,Northern Africa,AFN,Egypt,EGY,Education facilities,100,50,50,50,0,50,0,100,50,50,0,40,45
2024,Northern Africa,AFN,Egypt,EGY,Education outcomes,100,50,100,50,0,60,0,100,50,50,0,40,50
2024,Northern Africa,AFN,Egypt,EGY,Health facilities,100,50,50,0,0,40,0,100,50,50,0,40,40
2024,Northern Africa,AFN,Egypt,EGY,Health outcomes,50,50,0,50,0,30,0,100,0,50,0,30,30
2024,Northern Africa,AFN,Egypt,EGY,Reproductive health,100,50,50,50,0,50,0,100,50,50,0,40,45
2024,Northern Africa,AFN,Egypt,EGY,Food security and nutrition,100,50,0,0,-,37.5,0,100,50,50,0,40,38.9
2024,Northern Africa,AFN,Egypt,EGY,Gender statistics,100,50,50,50,0,50,0,100,0,50,0,30,40
2024,Northern Africa,AFN,Egypt,EGY,Crime and justice,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Northern Africa,AFN,Egypt,EGY,Poverty and income,50,50,50,0,0,30,0,100,50,0,0,30,30
2024,Northern Africa,AFN,Egypt,EGY,Social statistics subscore,80,50,45,30,5.6,42.9,0,90,35,40,0,33,37.9
2024,Northern Africa,AFN,Egypt,EGY,National accounts,100,100,100,0,-,75,100,100,50,50,0,60,66.7
2024,Northern Africa,AFN,Egypt,EGY,Labor,100,100,100,100,0,80,0,100,50,50,0,40,60
2024,Northern Africa,AFN,Egypt,EGY,Price indexes,100,100,100,0,-,75,0,100,50,50,0,40,55.6
2024,Northern Africa,AFN,Egypt,EGY,Government finance,100,100,100,0,-,75,100,100,50,50,0,60,66.7
2024,Northern Africa,AFN,Egypt,EGY,Money and banking,100,100,100,-,-,100,100,100,50,50,0,60,75
2024,Northern Africa,AFN,Egypt,EGY,International trade,100,100,100,-,-,100,100,100,50,50,0,60,75
2024,Northern Africa,AFN,Egypt,EGY,Balance of payments,100,100,100,-,-,100,100,100,50,50,0,60,75
2024,Northern Africa,AFN,Egypt,EGY,Digital Connectivity,-,-,-,-,-,-,-,-,-,-,-,-,-
2024,Northern Africa,AFN,Egypt,EGY,Economic and financial statistics subscore,100,100,100,25,0,84.6,71.4,100,50,50,0,54.3,67.2
2024,Northern Africa,AFN,Egypt,EGY,Agriculture and land use,100,50,100,100,0,70,0,100,50,50,0,40,55
2024,Northern Africa,AFN,Egypt,EGY,Resource use,100,100,50,50,-,75,0,100,50,50,0,40,55.6
2024,Northern Africa,AFN,Egypt,EGY,Energy,100,100,100,-,-,100,0,100,50,50,0,40,62.5
2024,Northern Africa,AFN,Egypt,EGY,Pollution,100,50,50,-,-,66.7,50,100,50,50,0,50,56.2
2024,Northern Africa,AFN,Egypt,EGY,Built environment,100,50,50,100,0,60,0,100,0,50,0,30,45
2024,Northern Africa,AFN,Egypt,EGY,Environment subscore,100,70,70,83.3,0,72.5,10,100,40,50,0,40,54.4
2024,Northern Africa,AFN,Egypt,EGY,All categories,93.3,73.3,71.7,43.4,3.5,64.6,27.1,96.7,41.7,46.7,0,42.4,52.5
2024,Northern Africa,AFN,Libya,LBY,Population and vital statistics,50,50,50,50,0,40,0,100,50,50,0,40,40
2024,Northern Africa,AFN,Libya,LBY,Education facilities,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Northern Africa,AFN,Libya,LBY,Education outcomes,50,0,0,0,0,10,0,100,0,50,0,30,20
2024,Northern Africa,AFN,Libya,LBY,Health facilities,100,0,50,0,0,30,0,100,50,50,0,40,35
2024,Northern Africa,AFN,Libya,LBY,Health outcomes,50,0,0,50,0,20,0,100,50,50,0,40,30
2024,Northern Africa,AFN,Libya,LBY,Reproductive health,100,50,50,50,0,50,0,100,50,50,0,40,45
2024,Northern Africa,AFN,Libya,LBY,Food security and nutrition,50,50,0,50,-,37.5,0,100,50,50,0,40,38.9
2024,Northern Africa,AFN,Libya,LBY,Gender statistics,50,0,0,50,0,20,0,100,50,50,0,40,30
2024,Northern Africa,AFN,Libya,LBY,Crime and justice,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Northern Africa,AFN,Libya,LBY,Poverty and income,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Northern Africa,AFN,Libya,LBY,Social statistics subscore,45,15,15,25,0,20.4,0,70,30,35,0,27,23.7
2024,Northern Africa,AFN,Libya,LBY,National accounts,50,50,50,0,-,37.5,0,100,50,50,0,40,38.9
2024,Northern Africa,AFN,Libya,LBY,Labor,100,50,0,50,0,40,0,100,50,50,0,40,40
2024,Northern Africa,AFN,Libya,LBY,Price indexes,50,50,50,0,-,37.5,0,100,50,0,0,30,33.3
2024,Northern Africa,AFN,Libya,LBY,Government finance,100,100,50,0,-,62.5,0,100,0,50,0,30,44.4
2024,Northern Africa,AFN,Libya,LBY,Money and banking,50,50,50,-,-,50,0,100,50,0,0,30,37.5
2024,Northern Africa,AFN,Libya,LBY,International trade,50,50,50,-,-,50,0,100,0,50,0,30,37.5
2024,Northern Africa,AFN,Libya,LBY,Balance of payments,100,100,50,-,-,83.3,0,100,0,50,0,30,50
2024,Northern Africa,AFN,Libya,LBY,Digital Connectivity,-,-,-,-,-,-,-,-,-,-,-,-,-
2024,Northern Africa,AFN,Libya,LBY,Economic and financial statistics subscore,71.4,64.3,42.9,12.5,0,50,0,100,28.6,35.7,0,32.9,40.2
2024,Northern Africa,AFN,Libya,LBY,Agriculture and land use,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Northern Africa,AFN,Libya,LBY,Resource use,50,0,50,0,-,25,0,100,50,50,0,40,33.3
2024,Northern Africa,AFN,Libya,LBY,Energy,50,0,50,-,-,33.3,0,100,50,50,0,40,37.5
2024,Northern Africa,AFN,Libya,LBY,Pollution,0,0,0,-,-,0,0,0,0,0,0,0,0
2024,Northern Africa,AFN,Libya,LBY,Built environment,100,0,0,50,0,30,0,100,50,50,0,40,35
2024,Northern Africa,AFN,Libya,LBY,Environment subscore,40,0,20,16.7,0,17.5,0,60,30,30,0,24,21.1
2024,Northern Africa,AFN,Libya,LBY,All categories,52.1,26.4,26,19.4,0,28.2,0,76.7,29.5,33.6,0,28,28.1
2024,Northern Africa,AFN,Morocco,MAR,Population and vital statistics,50,50,50,50,50,50,100,100,50,50,100,80,65
2024,Northern Africa,AFN,Morocco,MAR,Education facilities,100,100,100,50,100,90,100,100,50,50,100,80,85
2024,Northern Africa,AFN,Morocco,MAR,Education outcomes,100,50,100,50,50,70,100,100,50,50,100,80,75
2024,Northern Africa,AFN,Morocco,MAR,Health facilities,100,50,100,50,0,60,100,100,50,50,100,80,70
2024,Northern Africa,AFN,Morocco,MAR,Health outcomes,50,50,50,50,50,50,50,100,50,50,100,70,60
2024,Northern Africa,AFN,Morocco,MAR,Reproductive health,100,50,50,0,0,40,50,100,50,50,100,70,55
2024,Northern Africa,AFN,Morocco,MAR,Food security and nutrition,100,50,0,0,-,37.5,100,100,100,50,100,90,66.7
2024,Northern Africa,AFN,Morocco,MAR,Gender statistics,50,50,50,50,0,40,50,100,50,50,100,70,55
2024,Northern Africa,AFN,Morocco,MAR,Crime and justice,50,50,50,0,0,30,100,100,100,50,100,90,60
2024,Northern Africa,AFN,Morocco,MAR,Poverty and income,100,50,50,100,100,80,100,100,50,100,100,90,85
2024,Northern Africa,AFN,Morocco,MAR,Social statistics subscore,80,55,60,40,38.9,55.1,85,100,60,55,100,80,67.7
2024,Northern Africa,AFN,Morocco,MAR,National accounts,100,50,100,0,-,62.5,100,100,100,100,100,100,83.3
2024,Northern Africa,AFN,Morocco,MAR,Labor,100,100,100,50,0,70,100,100,100,100,100,100,85
2024,Northern Africa,AFN,Morocco,MAR,Price indexes,50,50,50,50,-,50,100,100,50,50,100,80,66.7
2024,Northern Africa,AFN,Morocco,MAR,Government finance,100,100,100,0,-,75,100,100,100,100,100,100,88.9
2024,Northern Africa,AFN,Morocco,MAR,Money and banking,100,100,100,-,-,100,100,100,50,100,100,90,93.8
2024,Northern Africa,AFN,Morocco,MAR,International trade,50,50,50,-,-,50,100,100,100,100,100,100,81.2
2024,Northern Africa,AFN,Morocco,MAR,Balance of payments,100,100,100,-,-,100,100,100,100,50,100,90,93.8
2024,Northern Africa,AFN,Morocco,MAR,Digital Connectivity,-,-,-,-,-,-,-,-,-,-,-,-,-
2024,Northern Africa,AFN,Morocco,MAR,Economic and financial statistics subscore,85.7,78.6,85.7,25,0,71.2,100,100,85.7,85.7,100,94.3,84.4
2024,Northern Africa,AFN,Morocco,MAR,Agriculture and land use,100,100,100,50,0,70,100,100,100,50,100,90,80
2024,Northern Africa,AFN,Morocco,MAR,Resource use,100,100,100,50,-,87.5,100,100,100,50,100,90,88.9
2024,Northern Africa,AFN,Morocco,MAR,Energy,100,100,100,-,-,100,100,100,100,100,100,100,100
2024,Northern Africa,AFN,Morocco,MAR,Pollution,100,50,50,-,-,66.7,50,100,50,50,50,60,62.5
2024,Northern Africa,AFN,Morocco,MAR,Built environment,100,50,100,0,0,50,100,100,100,100,100,100,75
2024,Northern Africa,AFN,Morocco,MAR,Environment subscore,100,80,90,33.3,0,72.5,90,100,90,70,90,88,81.1
2024,Northern Africa,AFN,Morocco,MAR,All categories,88.6,71.2,78.6,34.2,24.3,65.3,91.7,100,78.6,70.2,96.7,87.4,77.3
2024,Northern Africa,AFN,Tunisia,TUN,Population and vital statistics,100,100,100,50,0,70,100,100,100,50,100,90,80
2024,Northern Africa,AFN,Tunisia,TUN,Education facilities,50,50,50,0,0,30,100,100,50,50,100,80,55
2024,Northern Africa,AFN,Tunisia,TUN,Education outcomes,50,50,50,0,0,30,50,100,50,50,50,60,45
2024,Northern Africa,AFN,Tunisia,TUN,Health facilities,100,100,50,0,0,50,50,100,50,50,50,60,55
2024,Northern Africa,AFN,Tunisia,TUN,Health outcomes,50,0,50,0,0,20,0,100,50,50,0,40,30
2024,Northern Africa,AFN,Tunisia,TUN,Reproductive health,100,50,50,50,0,50,50,100,50,50,100,70,60
2024,Northern Africa,AFN,Tunisia,TUN,Food security and nutrition,50,0,0,50,-,25,0,100,50,50,0,40,33.3
2024,Northern Africa,AFN,Tunisia,TUN,Gender statistics,100,50,50,0,0,40,0,100,50,50,50,50,45
2024,Northern Africa,AFN,Tunisia,TUN,Crime and justice,0,0,0,0,0,0,0,100,0,50,100,50,25
2024,Northern Africa,AFN,Tunisia,TUN,Poverty and income,100,50,0,0,0,30,50,100,50,50,100,70,50
2024,Northern Africa,AFN,Tunisia,TUN,Social statistics subscore,70,45,40,15,0,34.7,40,100,50,50,65,61,48
2024,Northern Africa,AFN,Tunisia,TUN,National accounts,50,50,50,0,-,37.5,50,100,50,50,100,70,55.6
2024,Northern Africa,AFN,Tunisia,TUN,Labor,100,50,50,0,0,40,100,100,100,50,100,90,65
2024,Northern Africa,AFN,Tunisia,TUN,Price indexes,100,100,100,0,-,75,100,100,100,50,100,90,83.3
2024,Northern Africa,AFN,Tunisia,TUN,Government finance,100,50,50,0,-,50,50,100,50,50,100,70,61.1
2024,Northern Africa,AFN,Tunisia,TUN,Money and banking,100,100,100,-,-,100,100,100,100,50,100,90,93.8
2024,Northern Africa,AFN,Tunisia,TUN,International trade,50,50,50,-,-,50,100,100,100,50,100,90,75
2024,Northern Africa,AFN,Tunisia,TUN,Balance of payments,100,100,50,-,-,83.3,0,100,50,50,50,50,62.5
2024,Northern Africa,AFN,Tunisia,TUN,Digital Connectivity,-,-,-,-,-,-,-,-,-,-,-,-,-
2024,Northern Africa,AFN,Tunisia,TUN,Economic and financial statistics subscore,85.7,71.4,64.3,0,0,59.6,71.4,100,78.6,50,92.9,78.6,70.5
2024,Northern Africa,AFN,Tunisia,TUN,Agriculture and land use,50,50,50,0,0,30,100,100,100,50,100,90,60
2024,Northern Africa,AFN,Tunisia,TUN,Resource use,100,50,100,0,-,62.5,100,100,100,50,100,90,77.8
2024,Northern Africa,AFN,Tunisia,TUN,Energy,50,50,50,-,-,50,100,100,100,50,100,90,75
2024,Northern Africa,AFN,Tunisia,TUN,Pollution,100,50,0,-,-,50,0,100,50,50,0,40,43.8
2024,Northern Africa,AFN,Tunisia,TUN,Built environment,100,100,50,100,0,70,0,100,0,50,50,40,55
2024,Northern Africa,AFN,Tunisia,TUN,Environment subscore,80,60,50,33.3,0,52.5,60,100,70,50,70,70,62.2
2024,Northern Africa,AFN,Tunisia,TUN,All categories,78.6,58.8,51.4,16.1,0,47.7,57.1,100,66.2,50,76,69.9,59.7
2024,Southern Africa,AFZ,Botswana,BWA,Population and vital statistics,100,50,100,50,0,60,50,100,50,50,100,70,65
2024,Southern Africa,AFZ,Botswana,BWA,Education facilities,100,50,50,0,0,40,50,100,50,50,50,60,50
2024,Southern Africa,AFZ,Botswana,BWA,Education outcomes,50,50,50,50,0,40,0,100,50,50,100,60,50
2024,Southern Africa,AFZ,Botswana,BWA,Health facilities,100,100,100,0,0,60,100,100,50,50,50,70,65
2024,Southern Africa,AFZ,Botswana,BWA,Health outcomes,50,0,50,0,0,20,100,100,100,50,100,90,55
2024,Southern Africa,AFZ,Botswana,BWA,Reproductive health,100,50,50,0,0,40,50,100,50,50,100,70,55
2024,Southern Africa,AFZ,Botswana,BWA,Food security and nutrition,50,0,0,0,-,12.5,0,100,50,50,100,60,38.9
2024,Southern Africa,AFZ,Botswana,BWA,Gender statistics,50,50,0,0,0,20,0,100,50,50,100,60,40
2024,Southern Africa,AFZ,Botswana,BWA,Crime and justice,50,50,0,0,0,20,0,100,0,50,100,50,35
2024,Southern Africa,AFZ,Botswana,BWA,Poverty and income,100,0,0,0,0,20,0,100,50,50,100,60,40
2024,Southern Africa,AFZ,Botswana,BWA,Social statistics subscore,75,40,40,10,0,33.7,35,100,50,50,90,65,49.5
2024,Southern Africa,AFZ,Botswana,BWA,National accounts,100,100,100,0,-,75,0,100,50,50,100,60,66.7
2024,Southern Africa,AFZ,Botswana,BWA,Labor,100,50,50,0,0,40,0,100,0,50,100,50,45
2024,Southern Africa,AFZ,Botswana,BWA,Price indexes,50,50,50,0,-,37.5,100,100,100,50,100,90,66.7
2024,Southern Africa,AFZ,Botswana,BWA,Government finance,100,100,100,0,-,75,50,100,0,50,50,50,61.1
2024,Southern Africa,AFZ,Botswana,BWA,Money and banking,100,100,100,-,-,100,100,100,50,50,0,60,75
2024,Southern Africa,AFZ,Botswana,BWA,International trade,100,100,100,-,-,100,100,100,100,50,100,90,93.8
2024,Southern Africa,AFZ,Botswana,BWA,Balance of payments,100,100,100,-,-,100,100,100,100,50,0,70,81.2
2024,Southern Africa,AFZ,Botswana,BWA,Digital Connectivity,-,-,-,-,-,-,-,-,-,-,-,-,-
2024,Southern Africa,AFZ,Botswana,BWA,Economic and financial statistics subscore,92.9,85.7,85.7,0,0,71.2,64.3,100,57.1,50,64.3,67.1,68.8
2024,Southern Africa,AFZ,Botswana,BWA,Agriculture and land use,50,50,50,0,0,30,0,100,50,50,100,60,45
2024,Southern Africa,AFZ,Botswana,BWA,Resource use,100,50,50,50,-,62.5,0,100,50,50,100,60,61.1
2024,Southern Africa,AFZ,Botswana,BWA,Energy,0,0,0,-,-,0,0,0,0,0,0,0,0
2024,Southern Africa,AFZ,Botswana,BWA,Pollution,0,0,0,-,-,0,0,0,0,0,0,0,0
2024,Southern Africa,AFZ,Botswana,BWA,Built environment,100,0,0,0,0,20,0,100,50,50,100,60,40
2024,Southern Africa,AFZ,Botswana,BWA,Environment subscore,50,20,20,16.7,0,25,0,60,30,30,60,36,31.1
2024,Southern Africa,AFZ,Botswana,BWA,All categories,72.6,48.6,48.6,9.2,0,42,33.1,86.7,45.7,43.3,71.4,56,49.6
2024,Southern Africa,AFZ,Lesotho,LSO,Population and vital statistics,100,50,50,100,0,60,0,100,50,50,0,40,50
2024,Southern Africa,AFZ,Lesotho,LSO,Education facilities,50,50,0,50,0,30,0,100,50,50,0,40,35
2024,Southern Africa,AFZ,Lesotho,LSO,Education outcomes,50,50,50,50,0,40,0,100,50,50,0,40,40
2024,Southern Africa,AFZ,Lesotho,LSO,Health facilities,100,50,0,0,0,30,0,100,50,50,0,40,35
2024,Southern Africa,AFZ,Lesotho,LSO,Health outcomes,50,0,0,50,0,20,100,100,50,0,0,50,35
2024,Southern Africa,AFZ,Lesotho,LSO,Reproductive health,100,0,0,50,0,30,50,100,50,50,0,50,40
2024,Southern Africa,AFZ,Lesotho,LSO,Food security and nutrition,100,0,0,100,-,50,100,100,50,0,0,50,50
2024,Southern Africa,AFZ,Lesotho,LSO,Gender statistics,50,50,50,50,0,40,50,100,50,50,0,50,45
2024,Southern Africa,AFZ,Lesotho,LSO,Crime and justice,50,50,0,50,0,30,0,100,0,50,0,30,30
2024,Southern Africa,AFZ,Lesotho,LSO,Poverty and income,100,0,0,100,0,40,0,100,50,50,0,40,40
2024,Southern Africa,AFZ,Lesotho,LSO,Social statistics subscore,75,30,15,60,0,36.7,30,100,45,40,0,43,39.9
2024,Southern Africa,AFZ,Lesotho,LSO,National accounts,50,50,50,0,-,37.5,100,50,50,50,0,50,44.4
2024,Southern Africa,AFZ,Lesotho,LSO,Labor,100,50,0,100,0,50,0,100,50,50,0,40,45
2024,Southern Africa,AFZ,Lesotho,LSO,Price indexes,50,50,50,0,-,37.5,100,100,100,100,0,80,61.1
2024,Southern Africa,AFZ,Lesotho,LSO,Government finance,100,50,0,0,-,37.5,0,100,50,50,0,40,38.9
2024,Southern Africa,AFZ,Lesotho,LSO,Money and banking,100,100,100,-,-,100,100,100,100,0,0,60,75
2024,Southern Africa,AFZ,Lesotho,LSO,International trade,50,50,50,-,-,50,50,100,50,50,0,50,50
2024,Southern Africa,AFZ,Lesotho,LSO,Balance of payments,100,100,100,-,-,100,100,100,100,0,0,60,75
2024,Southern Africa,AFZ,Lesotho,LSO,Digital Connectivity,-,-,-,-,-,-,-,-,-,-,-,-,-
2024,Southern Africa,AFZ,Lesotho,LSO,Economic and financial statistics subscore,78.6,64.3,50,25,0,55.8,64.3,92.9,71.4,42.9,0,54.3,54.9
2024,Southern Africa,AFZ,Lesotho,LSO,Agriculture and land use,50,50,50,50,0,40,0,100,50,50,0,40,40
2024,Southern Africa,AFZ,Lesotho,LSO,Resource use,50,50,0,0,-,25,0,100,0,50,0,30,27.8
2024,Southern Africa,AFZ,Lesotho,LSO,Energy,50,50,50,-,-,50,0,100,0,50,0,30,37.5
2024,Southern Africa,AFZ,Lesotho,LSO,Pollution,50,50,0,-,-,33.3,0,100,50,50,0,40,37.5
2024,Southern Africa,AFZ,Lesotho,LSO,Built environment,100,0,0,100,0,40,50,100,0,50,0,40,40
2024,Southern Africa,AFZ,Lesotho,LSO,Environment subscore,60,40,20,50,0,37.5,10,100,20,50,0,36,36.7
2024,Southern Africa,AFZ,Lesotho,LSO,All categories,71.2,44.8,28.3,48,0,42.6,34.8,97.6,45.5,44.3,0,44.4,43.6
2024,Southern Africa,AFZ,Namibia,NAM,Population and vital statistics,50,50,50,50,0,40,50,100,50,50,100,70,55
2024,Southern Africa,AFZ,Namibia,NAM,Education facilities,0,0,0,0,0,0,0,100,50,50,0,40,20
2024,Southern Africa,AFZ,Namibia,NAM,Education outcomes,50,0,0,0,0,10,0,100,50,50,0,40,25
2024,Southern Africa,AFZ,Namibia,NAM,Health facilities,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Southern Africa,AFZ,Namibia,NAM,Health outcomes,50,0,0,0,0,10,0,100,50,50,0,40,25
2024,Southern Africa,AFZ,Namibia,NAM,Reproductive health,0,0,0,0,0,0,0,100,50,50,0,40,20
2024,Southern Africa,AFZ,Namibia,NAM,Food security and nutrition,0,0,0,0,-,0,0,0,0,0,0,0,0
2024,Southern Africa,AFZ,Namibia,NAM,Gender statistics,50,0,50,0,0,20,0,100,50,50,0,40,30
2024,Southern Africa,AFZ,Namibia,NAM,Crime and justice,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Southern Africa,AFZ,Namibia,NAM,Poverty and income,100,0,50,0,0,30,50,100,50,50,50,60,45
2024,Southern Africa,AFZ,Namibia,NAM,Social statistics subscore,30,5,15,5,0,11.2,10,70,35,35,15,33,22.2
2024,Southern Africa,AFZ,Namibia,NAM,National accounts,50,50,50,0,-,37.5,100,100,50,50,100,80,61.1
2024,Southern Africa,AFZ,Namibia,NAM,Labor,100,0,50,0,0,30,0,100,50,50,100,60,45
