Year,Region,Region code,Country,Country Code,Data categories,Indicator coverage and disaggregation,Data available last 5 years,Data available last 10 years,First administrative level,Second administrative level,Coverage subscore,Machine readable,Nonproprietary,Download options,Metadata available,Terms of use,Openness subscore,Overall score
2023,Western Africa,AFW,Mauritania,MRT,Agriculture and land use,50,50,50,0,0,30,0,100,0,50,0,30,30
2023,Western Africa,AFW,Mauritania,MRT,Resource use,100,50,50,0,,50,0,100,0,50,0,30,38.9
2023,Western Africa,AFW,Mauritania,MRT,Energy,50,50,50,,,50,0,100,0,50,0,30,37.5
2023,Western Africa,AFW,Mauritania,MRT,Pollution,0,0,0,0,,0,0,0,0,0,0,0,0
2023,Western Africa,AFW,Mauritania,MRT,Built environment,100,50,0,50,0,40,0,100,50,50,0,40,40
2023,Western Africa,AFW,Mauritania,MRT,Environment subscore,60,40,30,12.5,0,33.3,0,80,10,40,0,26,29.3
2023,Western Africa,AFW,Mauritania,MRT,All Categories,64.5,52.9,46.2,17.8,0,41.6,21.4,86.7,34.8,43.3,11.9,39.6,40.5
2023,Western Africa,AFW,Niger,NER,Population & vital statistics,50,50,50,50,0,40,50,100,0,50,0,40,40
2023,Western Africa,AFW,Niger,NER,Education facilities,50,50,50,50,0,40,0,100,0,50,0,30,35
2023,Western Africa,AFW,Niger,NER,Education outcomes,50,50,50,50,0,40,0,100,0,50,0,30,35
2023,Western Africa,AFW,Niger,NER,Health facilities,100,100,100,50,50,80,0,100,0,50,0,30,55
2023,Western Africa,AFW,Niger,NER,Health outcomes,50,0,0,50,0,20,0,100,50,50,0,40,30
2023,Western Africa,AFW,Niger,NER,Reproductive health,100,0,0,50,0,30,0,100,50,50,0,40,35
2023,Western Africa,AFW,Niger,NER,Food security & nutrition,100,50,50,0,,50,0,100,50,50,0,40,44.4
2023,Western Africa,AFW,Niger,NER,Gender statistics,50,50,0,0,0,20,0,100,0,50,0,30,25
2023,Western Africa,AFW,Niger,NER,Crime & justice,100,0,50,0,0,30,0,100,50,50,0,40,35
2023,Western Africa,AFW,Niger,NER,Poverty & income,50,50,0,50,0,30,0,100,50,50,0,40,35
2023,Western Africa,AFW,Niger,NER,Social statistics subscore,70,40,35,35,5.6,37.8,5,100,25,50,0,36,36.9
2023,Western Africa,AFW,Niger,NER,National accounts,50,50,50,0,,37.5,0,100,0,50,0,30,33.3
2023,Western Africa,AFW,Niger,NER,Labor,100,0,0,50,0,30,0,100,50,50,0,40,35
2023,Western Africa,AFW,Niger,NER,Price indexes,50,50,50,0,,37.5,50,100,0,50,0,40,38.9
2023,Western Africa,AFW,Niger,NER,Government finance,100,100,100,0,,75,0,100,0,50,0,30,50
2023,Western Africa,AFW,Niger,NER,Money & banking,50,50,50,,,50,0,100,0,50,0,30,37.5
2023,Western Africa,AFW,Niger,NER,International trade,50,50,50,,,50,0,100,0,50,0,30,37.5
2023,Western Africa,AFW,Niger,NER,Balance of payments,50,50,50,,,50,0,100,0,50,0,30,37.5
2023,Western Africa,AFW,Niger,NER,Economic & financial statistics subscore,64.3,50,50,12.5,0,46.2,7.1,100,7.1,50,0,32.9,38.5
2023,Western Africa,AFW,Niger,NER,Agriculture and land use,50,50,50,50,0,40,0,100,0,50,0,30,35
2023,Western Africa,AFW,Niger,NER,Resource use,100,50,50,50,,62.5,0,100,50,50,0,40,50
2023,Western Africa,AFW,Niger,NER,Energy,50,50,50,,,50,0,100,0,50,0,30,37.5
2023,Western Africa,AFW,Niger,NER,Pollution,0,0,0,0,,0,0,0,0,0,0,0,0
2023,Western Africa,AFW,Niger,NER,Built environment,100,0,0,0,0,20,0,100,50,50,0,40,30
2023,Western Africa,AFW,Niger,NER,Environment subscore,60,30,30,25,0,33.3,0,80,20,40,0,28,30.4
2023,Western Africa,AFW,Niger,NER,All Categories,64.8,40,38.3,26.2,3.5,38.7,4,93.3,17.4,46.7,0,32.3,35.3
2023,Western Africa,AFW,Nigeria,NGA,Population & vital statistics,100,50,50,50,0,50,0,100,50,50,0,40,45
2023,Western Africa,AFW,Nigeria,NGA,Education facilities,50,0,50,50,0,30,0,100,50,50,0,40,35
2023,Western Africa,AFW,Nigeria,NGA,Education outcomes,100,50,50,50,0,50,0,100,50,50,0,40,45
2023,Western Africa,AFW,Nigeria,NGA,Health facilities,50,50,50,50,0,40,0,100,0,50,0,30,35
2023,Western Africa,AFW,Nigeria,NGA,Health outcomes,100,0,100,50,0,50,0,100,50,50,0,40,45
2023,Western Africa,AFW,Nigeria,NGA,Reproductive health,100,50,50,50,0,50,0,100,50,50,0,40,45
2023,Western Africa,AFW,Nigeria,NGA,Food security & nutrition,100,50,0,0,,37.5,0,100,50,50,0,40,38.9
2023,Western Africa,AFW,Nigeria,NGA,Gender statistics,100,50,50,50,0,50,0,100,50,50,0,40,45
2023,Western Africa,AFW,Nigeria,NGA,Crime & justice,100,50,100,50,0,60,50,100,50,50,0,50,55
2023,Western Africa,AFW,Nigeria,NGA,Poverty & income,100,50,0,100,0,50,100,100,50,50,0,60,55
2023,Western Africa,AFW,Nigeria,NGA,Social statistics subscore,90,40,50,50,0,46.9,15,100,45,50,0,42,44.4
2023,Western Africa,AFW,Nigeria,NGA,National accounts,100,100,100,0,,75,100,100,50,50,0,60,66.7
2023,Western Africa,AFW,Nigeria,NGA,Labor,100,50,50,0,0,40,100,100,0,50,0,50,45
2023,Western Africa,AFW,Nigeria,NGA,Price indexes,50,0,0,50,,25,100,100,50,50,0,60,44.4
2023,Western Africa,AFW,Nigeria,NGA,Government finance,100,100,100,0,,75,100,100,50,100,0,70,72.2
2023,Western Africa,AFW,Nigeria,NGA,Money & banking,100,100,100,,,100,100,100,50,50,0,60,75
2023,Western Africa,AFW,Nigeria,NGA,International trade,100,100,100,,,100,50,100,0,50,0,40,62.5
2023,Western Africa,AFW,Nigeria,NGA,Balance of payments,100,100,100,,,100,100,100,50,100,0,70,81.3
2023,Western Africa,AFW,Nigeria,NGA,Economic & financial statistics subscore,92.9,78.6,78.6,12.5,0,69.2,92.9,100,35.7,64.3,0,58.6,63.1
2023,Western Africa,AFW,Nigeria,NGA,Agriculture and land use,50,0,50,0,0,20,0,100,50,50,0,40,30
2023,Western Africa,AFW,Nigeria,NGA,Resource use,50,50,50,50,,50,50,100,50,50,0,50,50
2023,Western Africa,AFW,Nigeria,NGA,Energy,0,0,0,,,0,0,0,0,0,0,0,0
2023,Western Africa,AFW,Nigeria,NGA,Pollution,0,0,0,0,,0,0,0,0,0,0,0,0
2023,Western Africa,AFW,Nigeria,NGA,Built environment,100,100,100,50,0,70,0,100,0,50,0,30,50
2023,Western Africa,AFW,Nigeria,NGA,Environment subscore,40,30,40,25,0,31,10,60,20,30,0,24,27.2
2023,Western Africa,AFW,Nigeria,NGA,All Categories,74.3,49.5,56.2,32.5,0,48.2,39.3,86.7,33.6,48.1,0,41.5,44.6
2023,Western Africa,AFW,Senegal,SEN,Population & vital statistics,100,100,100,50,0,70,50,100,50,50,50,60,65
2023,Western Africa,AFW,Senegal,SEN,Education facilities,100,50,50,50,0,50,0,100,50,50,100,60,55
2023,Western Africa,AFW,Senegal,SEN,Education outcomes,50,50,50,50,0,40,0,100,0,50,100,50,45
2023,Western Africa,AFW,Senegal,SEN,Health facilities,100,100,100,50,0,70,0,100,0,50,100,50,60
2023,Western Africa,AFW,Senegal,SEN,Health outcomes,50,50,50,0,0,30,0,100,50,50,100,60,45
2023,Western Africa,AFW,Senegal,SEN,Reproductive health,100,50,50,50,0,50,0,100,0,50,100,50,50
2023,Western Africa,AFW,Senegal,SEN,Food security & nutrition,100,50,50,0,,50,0,100,0,50,100,50,50
2023,Western Africa,AFW,Senegal,SEN,Gender statistics,100,50,50,50,0,50,0,100,50,50,100,60,55
2023,Western Africa,AFW,Senegal,SEN,Crime & justice,100,50,50,0,0,40,0,100,50,50,100,60,50
2023,Western Africa,AFW,Senegal,SEN,Poverty & income,50,50,50,0,0,30,0,100,0,50,100,50,40
2023,Western Africa,AFW,Senegal,SEN,Social statistics subscore,85,60,60,30,0,48,5,100,25,50,95,55,51.5
2023,Western Africa,AFW,Senegal,SEN,National accounts,50,50,50,0,,37.5,0,100,50,50,50,50,44.4
2023,Western Africa,AFW,Senegal,SEN,Labor,100,100,100,50,0,70,0,100,0,50,100,50,60
2023,Western Africa,AFW,Senegal,SEN,Price indexes,100,100,100,0,,75,100,100,0,50,100,70,72.2
2023,Western Africa,AFW,Senegal,SEN,Government finance,100,100,100,0,,75,0,100,0,50,0,30,50
2023,Western Africa,AFW,Senegal,SEN,Money & banking,100,100,50,,,83.3,50,100,50,50,50,60,68.8
2023,Western Africa,AFW,Senegal,SEN,International trade,100,100,100,,,100,100,100,50,50,100,80,87.5
2023,Western Africa,AFW,Senegal,SEN,Balance of payments,100,100,100,,,100,0,100,0,50,0,30,56.3
2023,Western Africa,AFW,Senegal,SEN,Economic & financial statistics subscore,92.9,92.9,85.7,12.5,0,75,35.7,100,21.4,50,57.1,52.9,62.3
2023,Western Africa,AFW,Senegal,SEN,Agriculture and land use,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Western Africa,AFW,Senegal,SEN,Resource use,100,50,50,0,,50,0,100,0,50,100,50,50
2023,Western Africa,AFW,Senegal,SEN,Energy,0,0,0,,,0,0,0,0,0,0,0,0
2023,Western Africa,AFW,Senegal,SEN,Pollution,50,0,50,0,,25,0,100,0,50,100,50,38.9
2023,Western Africa,AFW,Senegal,SEN,Built environment,100,100,100,0,0,60,0,100,0,50,100,50,55
2023,Western Africa,AFW,Senegal,SEN,Environment subscore,50,30,40,0,0,28.6,0,60,0,30,60,30,29.3
2023,Western Africa,AFW,Senegal,SEN,All Categories,76,61,61.9,15.7,0,49.4,13.6,86.7,15.5,43.3,70.7,46,47.6
2023,Western Africa,AFW,Sierra Leone,SLE,Population & vital statistics,100,0,0,50,50,40,0,100,50,50,100,60,50
2023,Western Africa,AFW,Sierra Leone,SLE,Education facilities,100,100,100,50,100,90,0,100,0,50,50,40,65
2023,Western Africa,AFW,Sierra Leone,SLE,Education outcomes,100,100,100,50,50,80,0,100,0,50,50,40,60
2023,Western Africa,AFW,Sierra Leone,SLE,Health facilities,100,50,0,0,100,50,0,100,50,50,50,50,50
2023,Western Africa,AFW,Sierra Leone,SLE,Health outcomes,100,100,100,100,50,90,0,100,0,50,100,50,70
2023,Western Africa,AFW,Sierra Leone,SLE,Reproductive health,100,100,50,50,50,70,0,100,0,50,100,50,60
2023,Western Africa,AFW,Sierra Leone,SLE,Food security & nutrition,100,50,0,0,,37.5,0,100,0,50,100,50,44.4
2023,Western Africa,AFW,Sierra Leone,SLE,Gender statistics,100,50,0,50,50,50,50,100,50,50,50,60,55
2023,Western Africa,AFW,Sierra Leone,SLE,Crime & justice,50,50,0,50,0,30,0,100,50,50,100,60,45
2023,Western Africa,AFW,Sierra Leone,SLE,Poverty & income,50,50,0,50,50,40,0,100,0,50,100,50,45
2023,Western Africa,AFW,Sierra Leone,SLE,Social statistics subscore,90,65,35,45,55.6,58.2,5,100,20,50,80,51,54.5
2023,Western Africa,AFW,Sierra Leone,SLE,National accounts,50,50,50,0,,37.5,0,100,0,50,100,50,44.4
2023,Western Africa,AFW,Sierra Leone,SLE,Labor,100,50,50,50,50,60,0,100,50,50,100,60,60
2023,Western Africa,AFW,Sierra Leone,SLE,Price indexes,100,100,100,0,,75,0,100,0,50,100,50,61.1
2023,Western Africa,AFW,Sierra Leone,SLE,Government finance,100,100,100,0,,75,0,100,0,50,100,50,61.1
2023,Western Africa,AFW,Sierra Leone,SLE,Money & banking,100,100,100,,,100,50,50,0,50,50,40,62.5
2023,Western Africa,AFW,Sierra Leone,SLE,International trade,50,0,0,,,16.7,0,100,50,50,100,60,43.8
2023,Western Africa,AFW,Sierra Leone,SLE,Balance of payments,100,100,100,,,100,50,100,0,50,100,60,75
2023,Western Africa,AFW,Sierra Leone,SLE,Economic & financial statistics subscore,85.7,71.4,71.4,12.5,50,65.4,14.3,92.9,14.3,50,92.9,52.9,58.2
2023,Western Africa,AFW,Sierra Leone,SLE,Agriculture and land use,50,0,50,50,50,40,0,100,50,50,100,60,50
2023,Western Africa,AFW,Sierra Leone,SLE,Resource use,50,50,50,0,,37.5,0,100,50,50,50,50,44.4
2023,Western Africa,AFW,Sierra Leone,SLE,Energy,0,0,0,,,0,0,0,0,0,0,0,0
2023,Western Africa,AFW,Sierra Leone,SLE,Pollution,0,0,0,0,,0,0,0,0,0,0,0,0
2023,Western Africa,AFW,Sierra Leone,SLE,Built environment,100,50,0,50,50,50,0,100,50,50,100,60,55
2023,Western Africa,AFW,Sierra Leone,SLE,Environment subscore,40,20,20,25,50,28.6,0,60,30,30,50,34,31.5
2023,Western Africa,AFW,Sierra Leone,SLE,All Categories,71.9,52.1,42.1,30.4,53.5,50.6,6.4,84.3,21.4,43.3,74.3,46,48.1
2023,Western Africa,AFW,Togo,TGO,Population & vital statistics,50,50,50,0,0,30,0,100,0,50,0,30,30
2023,Western Africa,AFW,Togo,TGO,Education facilities,100,50,100,50,50,70,0,100,50,50,0,40,55
2023,Western Africa,AFW,Togo,TGO,Education outcomes,50,50,50,50,50,50,50,100,0,50,0,40,45
2023,Western Africa,AFW,Togo,TGO,Health facilities,50,50,50,50,0,40,0,100,50,50,0,40,40
2023,Western Africa,AFW,Togo,TGO,Health outcomes,50,0,0,50,0,20,0,100,50,50,0,40,30
2023,Western Africa,AFW,Togo,TGO,Reproductive health,100,0,0,50,0,30,0,100,50,50,0,40,35
2023,Western Africa,AFW,Togo,TGO,Food security & nutrition,50,0,0,0,,12.5,0,100,0,50,0,30,22.2
2023,Western Africa,AFW,Togo,TGO,Gender statistics,50,0,0,0,0,10,0,100,50,50,0,40,25
2023,Western Africa,AFW,Togo,TGO,Crime & justice,50,50,50,50,0,40,0,100,50,50,0,40,40
2023,Western Africa,AFW,Togo,TGO,Poverty & income,100,100,100,100,0,80,0,100,50,50,0,40,60
2023,Western Africa,AFW,Togo,TGO,Social statistics subscore,65,35,40,40,11.1,38.8,5,100,35,50,0,38,38.4
2023,Western Africa,AFW,Togo,TGO,National accounts,50,50,50,0,,37.5,50,100,0,50,0,40,38.9
2023,Western Africa,AFW,Togo,TGO,Labor,100,0,0,50,0,30,0,100,50,50,0,40,35
2023,Western Africa,AFW,Togo,TGO,Price indexes,50,50,50,0,,37.5,50,100,50,50,0,50,44.4
2023,Western Africa,AFW,Togo,TGO,Government finance,100,50,50,0,,50,0,100,50,50,0,40,44.4
2023,Western Africa,AFW,Togo,TGO,Money & banking,100,100,100,,,100,50,100,50,50,0,50,68.8
2023,Western Africa,AFW,Togo,TGO,International trade,50,50,50,,,50,0,100,50,50,0,40,43.8
2023,Western Africa,AFW,Togo,TGO,Balance of payments,100,100,50,,,83.3,0,100,50,50,0,40,56.3
2023,Western Africa,AFW,Togo,TGO,Economic & financial statistics subscore,78.6,57.1,50,12.5,0,51.9,21.4,100,42.9,50,0,42.9,46.7
2023,Western Africa,AFW,Togo,TGO,Agriculture and land use,50,50,50,50,0,40,50,100,50,50,0,50,45
2023,Western Africa,AFW,Togo,TGO,Resource use,50,50,50,0,,37.5,0,100,50,50,0,40,38.9
2023,Western Africa,AFW,Togo,TGO,Energy,50,50,50,,,50,0,100,50,50,0,40,43.8
2023,Western Africa,AFW,Togo,TGO,Pollution,50,50,50,0,,37.5,0,100,50,50,0,40,38.9
2023,Western Africa,AFW,Togo,TGO,Built environment,100,50,50,0,0,40,0,100,50,50,0,40,40
2023,Western Africa,AFW,Togo,TGO,Environment subscore,60,50,50,12.5,0,40.5,10,100,50,50,0,42,41.3
2023,Western Africa,AFW,Togo,TGO,All Categories,67.9,47.4,46.7,24.1,6.9,43.1,12.1,100,42.6,50,0,41,42
2023,Caribbean,AMC,Anguilla,AIA,Population & vital statistics,50,50,50,0,,37.5,100,100,50,100,0,70,55.6
2023,Caribbean,AMC,Anguilla,AIA,Education facilities,0,0,0,0,,0,0,0,0,0,0,0,0
2023,Caribbean,AMC,Anguilla,AIA,Education outcomes,0,0,0,0,,0,0,0,0,0,0,0,0
2023,Caribbean,AMC,Anguilla,AIA,Health facilities,0,0,0,0,,0,0,0,0,0,0,0,0
2023,Caribbean,AMC,Anguilla,AIA,Health outcomes,0,0,0,0,,0,0,0,0,0,0,0,0
2023,Caribbean,AMC,Anguilla,AIA,Reproductive health,0,0,0,0,,0,0,0,0,0,0,0,0
2023,Caribbean,AMC,Anguilla,AIA,Food security & nutrition,0,0,0,,,0,0,0,0,0,0,0,0
2023,Caribbean,AMC,Anguilla,AIA,Gender statistics,50,0,50,0,,25,0,100,50,50,0,40,33.3
2023,Caribbean,AMC,Anguilla,AIA,Crime & justice,0,0,0,0,,0,0,0,0,0,0,0,0
2023,Caribbean,AMC,Anguilla,AIA,Poverty & income,0,0,0,0,,0,0,0,0,0,0,0,0
2023,Caribbean,AMC,Anguilla,AIA,Social statistics subscore,10,5,10,0,,6.4,10,20,10,15,0,11,9
2023,Caribbean,AMC,Anguilla,AIA,National accounts,50,50,50,,,50,100,100,50,50,0,60,56.3
2023,Caribbean,AMC,Anguilla,AIA,Labor,0,0,0,0,,0,0,0,0,0,0,0,0
2023,Caribbean,AMC,Anguilla,AIA,Price indexes,50,50,50,,,50,0,100,50,50,0,40,43.8
2023,Caribbean,AMC,Anguilla,AIA,Government finance,100,100,100,,,100,0,100,0,0,0,20,50
2023,Caribbean,AMC,Anguilla,AIA,Money & banking,50,0,50,,,33.3,0,100,100,50,0,50,43.8
2023,Caribbean,AMC,Anguilla,AIA,International trade,0,0,0,,,0,0,0,0,0,0,0,0
2023,Caribbean,AMC,Anguilla,AIA,Balance of payments,100,50,100,,,83.3,100,100,50,50,0,60,68.8
2023,Caribbean,AMC,Anguilla,AIA,Economic & financial statistics subscore,50,35.7,50,0,,43.2,28.6,71.4,35.7,28.6,0,32.9,36.8
2023,Caribbean,AMC,Anguilla,AIA,Agriculture and land use,50,50,50,0,,37.5,100,100,50,50,0,60,50
2023,Caribbean,AMC,Anguilla,AIA,Resource use,50,50,50,,,50,100,100,50,50,0,60,56.3
2023,Caribbean,AMC,Anguilla,AIA,Energy,0,0,0,,,0,0,0,0,0,0,0,0
2023,Caribbean,AMC,Anguilla,AIA,Pollution,0,0,0,,,0,0,0,0,0,0,0,0
2023,Caribbean,AMC,Anguilla,AIA,Built environment,0,0,0,0,,0,0,0,0,0,0,0,0
2023,Caribbean,AMC,Anguilla,AIA,Environment subscore,20,20,20,0,,17.6,40,40,20,20,0,24,21.4
2023,Caribbean,AMC,Anguilla,AIA,All Categories,26.7,20.2,26.7,0,,21.1,26.2,43.8,21.9,21.2,0,22.6,22
2023,Caribbean,AMC,Antigua and Barbuda,ATG,Population & vital statistics,100,100,100,0,,75,100,100,50,50,100,80,77.8
2023,Caribbean,AMC,Antigua and Barbuda,ATG,Education facilities,100,50,50,0,,50,50,100,50,50,50,60,55.6
2023,Caribbean,AMC,Antigua and Barbuda,ATG,Education outcomes,50,50,50,0,,37.5,50,100,50,50,100,70,55.6
2023,Caribbean,AMC,Antigua and Barbuda,ATG,Health facilities,50,50,50,0,,37.5,0,100,50,50,50,50,44.4
2023,Caribbean,AMC,Antigua and Barbuda,ATG,Health outcomes,50,0,50,0,,25,0,100,50,50,100,60,44.4
2023,Caribbean,AMC,Antigua and Barbuda,ATG,Reproductive health,0,0,0,0,,0,0,0,0,0,0,0,0
2023,Caribbean,AMC,Antigua and Barbuda,ATG,Food security & nutrition,0,0,0,,,0,0,0,0,0,0,0,0
2023,Caribbean,AMC,Antigua and Barbuda,ATG,Gender statistics,0,0,0,0,,0,0,0,0,0,0,0,0
2023,Caribbean,AMC,Antigua and Barbuda,ATG,Crime & justice,0,0,0,0,,0,0,0,0,0,0,0,0
2023,Caribbean,AMC,Antigua and Barbuda,ATG,Poverty & income,0,0,0,0,,0,0,0,0,0,0,0,0
2023,Caribbean,AMC,Antigua and Barbuda,ATG,Social statistics subscore,35,25,30,0,,23.1,20,50,25,25,40,32,28.1
2023,Caribbean,AMC,Antigua and Barbuda,ATG,National accounts,50,50,50,,,50,100,100,50,50,100,80,68.8
2023,Caribbean,AMC,Antigua and Barbuda,ATG,Labor,100,100,0,50,,62.5,50,100,0,50,100,60,61.1
2023,Caribbean,AMC,Antigua and Barbuda,ATG,Price indexes,50,50,50,,,50,50,100,0,50,100,60,56.3
2023,Caribbean,AMC,Antigua and Barbuda,ATG,Government finance,100,100,100,,,100,0,100,0,50,0,30,56.3
2023,Caribbean,AMC,Antigua and Barbuda,ATG,Money & banking,100,100,100,,,100,0,100,0,50,0,30,56.3
2023,Caribbean,AMC,Antigua and Barbuda,ATG,International trade,50,50,50,,,50,100,100,0,100,100,80,68.8
2023,Caribbean,AMC,Antigua and Barbuda,ATG,Balance of payments,100,100,100,,,100,100,100,0,100,100,80,87.5
2023,Caribbean,AMC,Antigua and Barbuda,ATG,Economic & financial statistics subscore,78.6,78.6,64.3,50,,72.7,57.1,100,7.1,64.3,71.4,60,64.9
2023,Caribbean,AMC,Antigua and Barbuda,ATG,Agriculture and land use,0,0,0,0,,0,0,0,0,0,0,0,0
2023,Caribbean,AMC,Antigua and Barbuda,ATG,Resource use,0,0,0,,,0,0,0,0,0,0,0,0
2023,Caribbean,AMC,Antigua and Barbuda,ATG,Energy,0,0,0,,,0,0,0,0,0,0,0,0
2023,Caribbean,AMC,Antigua and Barbuda,ATG,Pollution,0,0,0,,,0,0,0,0,0,0,0,0
2023,Caribbean,AMC,Antigua and Barbuda,ATG,Built environment,0,0,0,0,,0,0,0,0,0,0,0,0
2023,Caribbean,AMC,Antigua and Barbuda,ATG,Environment subscore,0,0,0,0,,0,0,0,0,0,0,0,0
2023,Caribbean,AMC,Antigua and Barbuda,ATG,All Categories,37.9,34.5,31.4,5,,30.5,25.7,50,10.7,29.8,37.1,30.7,30.6
2023,Caribbean,AMC,Aruba,ABW,Population & vital statistics,100,100,100,50,,87.5,50,100,0,50,0,40,61.1
2023,Caribbean,AMC,Aruba,ABW,Education facilities,50,0,50,0,,25,0,100,0,100,0,40,33.3
2023,Caribbean,AMC,Aruba,ABW,Education outcomes,50,0,50,0,,25,0,100,0,100,0,40,33.3
2023,Caribbean,AMC,Aruba,ABW,Health facilities,50,50,50,0,,37.5,50,100,0,50,0,40,38.9
2023,Caribbean,AMC,Aruba,ABW,Health outcomes,50,50,50,0,,37.5,50,100,0,50,0,40,38.9
2023,Caribbean,AMC,Aruba,ABW,Reproductive health,50,50,50,0,,37.5,0,100,0,50,0,30,33.3
2023,Caribbean,AMC,Aruba,ABW,Food security & nutrition,0,0,0,,,0,0,0,0,0,0,0,0
2023,Caribbean,AMC,Aruba,ABW,Gender statistics,50,50,50,0,,37.5,50,100,50,50,0,50,44.4
2023,Caribbean,AMC,Aruba,ABW,Crime & justice,0,0,0,0,,0,0,0,0,0,0,0,0
2023,Caribbean,AMC,Aruba,ABW,Poverty & income,0,0,0,0,,0,0,0,0,0,0,0,0
2023,Caribbean,AMC,Aruba,ABW,Social statistics subscore,40,30,40,5.6,,29.5,20,70,5,45,0,28,28.7
2023,Caribbean,AMC,Aruba,ABW,National accounts,50,50,50,,,50,50,100,50,50,0,50,50
2023,Caribbean,AMC,Aruba,ABW,Labor,100,100,100,0,,75,100,100,0,50,0,50,61.1
2023,Caribbean,AMC,Aruba,ABW,Price indexes,50,50,50,,,50,0,100,0,50,0,30,37.5
2023,Caribbean,AMC,Aruba,ABW,Government finance,100,100,100,,,100,0,100,50,100,0,50,68.8
2023,Caribbean,AMC,Aruba,ABW,Money & banking,100,100,100,,,100,0,100,50,50,0,40,62.5
2023,Caribbean,AMC,Aruba,ABW,International trade,100,100,100,,,100,50,50,50,50,0,40,62.5
2023,Caribbean,AMC,Aruba,ABW,Balance of payments,100,100,100,,,100,0,100,50,100,0,50,68.8
2023,Caribbean,AMC,Aruba,ABW,Economic & financial statistics subscore,85.7,85.7,85.7,0,,81.8,28.6,92.9,35.7,64.3,0,44.3,58.8
2023,Caribbean,AMC,Aruba,ABW,Agriculture and land use,0,0,0,0,,0,0,0,0,0,0,0,0
2023,Caribbean,AMC,Aruba,ABW,Resource use,50,50,50,,,50,50,100,0,50,0,40,43.8
2023,Caribbean,AMC,Aruba,ABW,Energy,50,50,50,,,50,100,100,50,50,0,60,56.3
2023,Caribbean,AMC,Aruba,ABW,Pollution,0,0,0,,,0,0,0,0,0,0,0,0
2023,Caribbean,AMC,Aruba,ABW,Built environment,0,0,0,0,,0,0,0,0,0,0,0,0
2023,Caribbean,AMC,Aruba,ABW,Environment subscore,20,20,20,0,,17.6,30,40,10,20,0,20,19
2023,Caribbean,AMC,Aruba,ABW,All Categories,48.6,45.2,48.6,3.5,,41.4,26.2,67.6,16.9,43.1,0,30.8,35.1
2023,Caribbean,AMC,The Bahamas,BHS,Population & vital statistics,50,50,50,0,0,30,0,100,50,100,0,50,40
2023,Caribbean,AMC,The Bahamas,BHS,Education facilities,100,0,0,0,0,20,0,100,50,50,0,40,30
2023,Caribbean,AMC,The Bahamas,BHS,Education outcomes,50,0,0,0,0,10,0,100,50,50,0,40,25
2023,Caribbean,AMC,The Bahamas,BHS,Health facilities,50,0,0,50,50,30,0,100,50,50,0,40,35
2023,Caribbean,AMC,The Bahamas,BHS,Health outcomes,50,50,0,0,0,20,0,100,0,50,0,30,25
2023,Caribbean,AMC,The Bahamas,BHS,Reproductive health,50,50,50,0,0,30,0,100,50,50,0,40,35
2023,Caribbean,AMC,The Bahamas,BHS,Food security & nutrition,0,0,0,0,,0,0,0,0,0,0,0,0
2023,Caribbean,AMC,The Bahamas,BHS,Gender statistics,50,50,50,50,0,40,0,100,0,100,0,40,40
2023,Caribbean,AMC,The Bahamas,BHS,Crime & justice,50,0,0,0,0,10,0,100,50,50,0,40,25
2023,Caribbean,AMC,The Bahamas,BHS,Poverty & income,100,0,0,0,0,20,0,100,50,50,0,40,30
2023,Caribbean,AMC,The Bahamas,BHS,Social statistics subscore,55,20,15,10,5.6,21.4,0,90,35,55,0,36,28.8
2023,Caribbean,AMC,The Bahamas,BHS,National accounts,50,50,50,0,,37.5,0,100,50,100,0,50,44.4
2023,Caribbean,AMC,The Bahamas,BHS,Labor,100,100,100,0,0,60,0,100,0,50,0,30,45
2023,Caribbean,AMC,The Bahamas,BHS,Price indexes,50,50,50,0,,37.5,0,100,0,50,0,30,33.3
2023,Caribbean,AMC,The Bahamas,BHS,Government finance,100,100,100,0,,75,0,100,50,50,0,40,55.6
2023,Caribbean,AMC,The Bahamas,BHS,Money & banking,100,100,100,,,100,0,100,50,50,0,40,62.5
2023,Caribbean,AMC,The Bahamas,BHS,International trade,100,100,100,,,100,0,100,0,50,0,30,56.3
2023,Caribbean,AMC,The Bahamas,BHS,Balance of payments,100,100,100,,,100,0,100,50,50,0,40,62.5
2023,Caribbean,AMC,The Bahamas,BHS,Economic & financial statistics subscore,85.7,85.7,85.7,0,0,69.2,0,100,28.6,57.1,0,37.1,50.8
2023,Caribbean,AMC,The Bahamas,BHS,Agriculture and land use,50,0,50,0,0,20,0,100,50,100,0,50,35
2023,Caribbean,AMC,The Bahamas,BHS,Resource use,50,0,50,0,,25,0,100,50,50,0,40,33.3
2023,Caribbean,AMC,The Bahamas,BHS,Energy,0,0,0,,,0,0,0,0,0,0,0,0
2023,Caribbean,AMC,The Bahamas,BHS,Pollution,0,0,0,0,,0,0,0,0,0,0,0,0
2023,Caribbean,AMC,The Bahamas,BHS,Built environment,100,0,0,0,0,20,0,100,50,50,0,40,30
2023,Caribbean,AMC,The Bahamas,BHS,Environment subscore,40,0,20,0,0,14.3,0,60,30,40,0,26,20.7
2023,Caribbean,AMC,The Bahamas,BHS,All Categories,60.2,35.2,40.2,4.2,3.5,32.9,0,83.3,31.2,50.7,0,33,33
