country,region,income,fragile_conflict,iso3c,date,SPI.INDEX.PIL1,SPI.INDEX.PIL2,SPI.INDEX.PIL3,SPI.INDEX.PIL4,SPI.INDEX.PIL5,SPI.INDEX,SPI.INDEX.quintile,SPI.INDEX.PIL1.quintile,SPI.INDEX.PIL2.quintile,SPI.INDEX.PIL3.quintile,SPI.INDEX.PIL4.quintile,SPI.INDEX.PIL5.quintile,population,iso2c,NY.GDP.PCAP.PP.KD,unit,obs_status,footnote,last_updated
Mauritania,Sub-Saharan Africa,Lower middle income,Other,MRT,2022,90,63.19999999999999,58.318749999999994,27.18333333333333,60,59.740416666666675,2nd Quintile,Top Quintile,2nd Quintile,2nd Quintile,Bottom 20%,3rd Quintile,4875637,MR,6053.26178704876,NA,NA,NA,2025-10-07
Seychelles,Sub-Saharan Africa,High income,Other,SYC,2022,70,44.23333333333333,55.2125,57.3,70,59.34916666666666,2nd Quintile,2nd Quintile,Bottom 20%,Bottom 20%,3rd Quintile,4th Quintile,119878,SC,27978.1770550937,NA,NA,NA,2025-10-07
Maldives,South Asia,Upper middle income,Other,MDV,2022,70,63.99999999999999,67.61874999999999,59.64166666666666,35,59.25208333333332,2nd Quintile,2nd Quintile,3rd Quintile,2nd Quintile,3rd Quintile,Bottom 20%,524106,MV,21357.8112534171,NA,NA,NA,2025-10-07
Guinea,Sub-Saharan Africa,Lower middle income,Other,GIN,2022,80,62.76666666666666,68.88125000000001,34.041666666666664,50,59.13791666666667,2nd Quintile,3rd Quintile,2nd Quintile,3rd Quintile,Bottom 20%,2nd Quintile,14055137,GN,3792.01068836277,NA,NA,NA,2025-10-07
Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,Conflict,AFG,2022,80,60,74.15,25.791666666666668,55.00000000000001,58.98833333333333,2nd Quintile,3rd Quintile,2nd Quintile,3rd Quintile,Bottom 20%,3rd Quintile,40578842,AF,1981.71016810561,NA,NA,NA,2025-10-07
Lao PDR,East Asia & Pacific,Lower middle income,Other,LAO,2022,76.6,65.73333333333333,66.80625,44.175,40,58.662916666666675,2nd Quintile,2nd Quintile,3rd Quintile,2nd Quintile,2nd Quintile,2nd Quintile,7559007,LA,8183.03286472653,NA,NA,NA,2025-10-07
Oman,"Middle East, North Africa, Afghanistan & Pakistan",High income,Other,OMN,2022,70,46.93333333333333,57.33125000000001,63.87500000000001,55.00000000000001,58.62791666666667,2nd Quintile,2nd Quintile,Bottom 20%,2nd Quintile,3rd Quintile,3rd Quintile,4730226,OM,39780.2122774985,NA,NA,NA,2025-10-07
Cameroon,Sub-Saharan Africa,Lower middle income,Conflict,CMR,2022,70,65.23333333333332,79.225,33.45,45,58.58166666666666,2nd Quintile,2nd Quintile,3rd Quintile,4th Quintile,Bottom 20%,2nd Quintile,27632771,CM,4843.65038202917,NA,NA,NA,2025-10-07
Madagascar,Sub-Saharan Africa,Low income,Other,MDG,2022,80,60.566666666666656,73.4125,33.05,45,58.405833333333334,2nd Quintile,3rd Quintile,2nd Quintile,3rd Quintile,Bottom 20%,2nd Quintile,30437261,MG,1602.71368352311,NA,NA,NA,2025-10-07
Suriname,Latin America & Caribbean,Upper middle income,Other,SUR,2022,40,67.13333333333334,64.06875,60.458333333333336,60,58.33208333333333,2nd Quintile,Bottom 20%,3rd Quintile,2nd Quintile,3rd Quintile,3rd Quintile,623164,SR,18742.5873760369,NA,NA,NA,2025-10-07
"Iran, Islamic Rep.","Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,Other,IRN,2022,80,29.46666666666666,66.3875,69.89999999999999,45,58.15083333333334,2nd Quintile,3rd Quintile,Bottom 20%,2nd Quintile,4th Quintile,2nd Quintile,89524246,IR,15331.3329400419,NA,NA,NA,2025-10-07
Trinidad and Tobago,Latin America & Caribbean,High income,Other,TTO,2022,70,61.33333333333333,64.01875,39.38333333333333,55.00000000000001,57.947083333333325,2nd Quintile,2nd Quintile,2nd Quintile,2nd Quintile,2nd Quintile,3rd Quintile,1365805,TT,30793.3998304425,NA,NA,NA,2025-10-07
Bhutan,South Asia,Lower middle income,Other,BTN,2022,70,64.03333333333332,68.6,42.974999999999994,40,57.12166666666667,2nd Quintile,2nd Quintile,3rd Quintile,3rd Quintile,2nd Quintile,2nd Quintile,780914,BT,14061.3120274588,NA,NA,NA,2025-10-07
Lesotho,Sub-Saharan Africa,Lower middle income,Other,LSO,2022,80,29.733333333333334,66.25,49.075,60,57.01166666666667,2nd Quintile,3rd Quintile,Bottom 20%,2nd Quintile,2nd Quintile,3rd Quintile,2286110,LS,2577.54544127769,NA,NA,NA,2025-10-07
China,East Asia & Pacific,Upper middle income,Other,CHN,2022,73.4,43.8,73.8625,38.275,50,55.86750000000001,2nd Quintile,2nd Quintile,Bottom 20%,3rd Quintile,Bottom 20%,2nd Quintile,1412175000,CN,21499.3822834427,NA,NA,NA,2025-10-07
Sao Tome and Principe,Sub-Saharan Africa,Lower middle income,Institutional and Social Fragility,STP,2022,70,61.03333333333334,61.474999999999994,51.68333333333334,35,55.83833333333333,2nd Quintile,2nd Quintile,2nd Quintile,2nd Quintile,3rd Quintile,Bottom 20%,226305,ST,5632.13890715047,NA,NA,NA,2025-10-07
Nicaragua,Latin America & Caribbean,Lower middle income,Other,NIC,2022,60,61.1,60.71875,39.975,55.00000000000001,55.35875,2nd Quintile,2nd Quintile,2nd Quintile,2nd Quintile,2nd Quintile,3rd Quintile,6730654,NI,7277.82264804562,NA,NA,NA,2025-10-07
Angola,Sub-Saharan Africa,Lower middle income,Other,AGO,2022,60,60.76666666666666,69.74375,44.325,40,54.967083333333335,2nd Quintile,2nd Quintile,2nd Quintile,3rd Quintile,2nd Quintile,2nd Quintile,35635029,AO,7397.48642731105,NA,NA,NA,2025-10-07
Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,Other,BHR,2022,60,73.69999999999999,51.7,59.41666666666667,30,54.96333333333333,2nd Quintile,2nd Quintile,3rd Quintile,Bottom 20%,3rd Quintile,Bottom 20%,1524693,BH,57572.997981018,NA,NA,NA,2025-10-07
Namibia,Sub-Saharan Africa,Lower middle income,Other,NAM,2022,40,62.83333333333333,74.42500000000001,36.28333333333333,55.00000000000001,53.708333333333336,2nd Quintile,Bottom 20%,2nd Quintile,3rd Quintile,Bottom 20%,3rd Quintile,2889662,NA,9953.09752232336,NA,NA,NA,2025-10-07
"Bahamas, The",Latin America & Caribbean,High income,Other,BHS,2022,80,27.666666666666668,46.7125,36.86666666666667,75,53.24916666666667,Bottom 20%,3rd Quintile,Bottom 20%,Bottom 20%,Bottom 20%,4th Quintile,397538,BS,34342.7904119831,NA,NA,NA,2025-10-07
Tajikistan,Europe & Central Asia,Lower middle income,Other,TJK,2022,80,29.166666666666664,74.11875,52.95,30,53.247083333333336,Bottom 20%,3rd Quintile,Bottom 20%,3rd Quintile,3rd Quintile,Bottom 20%,10182222,TJ,4213.75618362687,NA,NA,NA,2025-10-07
Guyana,Latin America & Caribbean,High income,Other,GUY,2022,60,62.73333333333333,66.43124999999999,31.358333333333334,45,53.10458333333333,Bottom 20%,2nd Quintile,2nd Quintile,2nd Quintile,Bottom 20%,2nd Quintile,821637,GY,37068.1993827588,NA,NA,NA,2025-10-07
Eswatini,Sub-Saharan Africa,Lower middle income,Other,SWZ,2022,80,22.333333333333332,70.0125,32.63333333333334,60,52.995833333333344,Bottom 20%,3rd Quintile,Bottom 20%,3rd Quintile,Bottom 20%,3rd Quintile,1218917,SZ,9955.70904595365,NA,NA,NA,2025-10-07
Vanuatu,East Asia & Pacific,Lower middle income,Other,VUT,2022,56.60000000000001,59.06666666666667,68.90624999999999,40.6,35,52.03458333333333,Bottom 20%,Bottom 20%,Bottom 20%,3rd Quintile,2nd Quintile,Bottom 20%,313046,VU,3222.83595459348,NA,NA,NA,2025-10-07
Palau,East Asia & Pacific,High income,Other,PLW,2022,50,59.66666666666667,54.974999999999994,53.81666666666667,40,51.69166666666667,Bottom 20%,Bottom 20%,2nd Quintile,Bottom 20%,3rd Quintile,2nd Quintile,17759,PW,15477.5526357323,NA,NA,NA,2025-10-07
Iraq,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,Conflict,IRQ,2022,40,64.53333333333333,73.1,35.699999999999996,45,51.66666666666667,Bottom 20%,Bottom 20%,3rd Quintile,3rd Quintile,Bottom 20%,2nd Quintile,44070551,IQ,13433.3977166987,NA,NA,NA,2025-10-07
Antigua and Barbuda,Latin America & Caribbean,High income,Other,ATG,2022,80,26.9,60.53125,50.76666666666666,40,51.63958333333334,Bottom 20%,3rd Quintile,Bottom 20%,2nd Quintile,3rd Quintile,2nd Quintile,92840,AG,27941.7851474762,NA,NA,NA,2025-10-07
Solomon Islands,East Asia & Pacific,Lower middle income,Institutional and Social Fragility,SLB,2022,60,59.266666666666666,64.1875,18.558333333333337,50,50.4025,Bottom 20%,2nd Quintile,Bottom 20%,2nd Quintile,Bottom 20%,2nd Quintile,781066,SB,2517.92542114712,NA,NA,NA,2025-10-07
"Venezuela, RB",Latin America & Caribbean,Not classified,Institutional and Social Fragility,VEN,2022,80,56.233333333333334,51.37499999999999,30.524999999999995,25,48.626666666666665,Bottom 20%,3rd Quintile,Bottom 20%,Bottom 20%,Bottom 20%,Bottom 20%,28213017,VE,NA,NA,NA,NA,2025-10-07
Chad,Sub-Saharan Africa,Low income,Institutional and Social Fragility,TCD,2022,63.4,59.2,68.2375,22.191666666666663,30,48.60583333333333,Bottom 20%,2nd Quintile,Bottom 20%,2nd Quintile,Bottom 20%,Bottom 20%,18455316,TD,2655.7100439179,NA,NA,NA,2025-10-07
Grenada,Latin America & Caribbean,Upper middle income,Other,GRD,2022,80,22.066666666666663,61.66250000000001,48.31666666666666,30,48.40916666666668,Bottom 20%,3rd Quintile,Bottom 20%,2nd Quintile,2nd Quintile,Bottom 20%,116913,GD,16386.46233816,NA,NA,NA,2025-10-07
St. Vincent and the Grenadines,Latin America & Caribbean,Upper middle income,Other,VCT,2022,30,67.43333333333332,55.95625,48.00833333333333,40,48.27958333333334,Bottom 20%,Bottom 20%,3rd Quintile,Bottom 20%,2nd Quintile,2nd Quintile,102046,VC,16835.023514541,NA,NA,NA,2025-10-07
Kiribati,East Asia & Pacific,Lower middle income,Institutional and Social Fragility,KIR,2022,50,59.86666666666667,71.17500000000001,30.21666666666667,25,47.25166666666667,Bottom 20%,Bottom 20%,2nd Quintile,3rd Quintile,Bottom 20%,Bottom 20%,130469,KI,3107.77604642688,NA,NA,NA,2025-10-07
Burundi,Sub-Saharan Africa,Low income,Institutional and Social Fragility,BDI,2022,50,63.13333333333333,68.70625000000001,17.441666666666666,35,46.85625,Bottom 20%,Bottom 20%,2nd Quintile,3rd Quintile,Bottom 20%,Bottom 20%,13321097,BI,829.38715963357,NA,NA,NA,2025-10-07
Gabon,Sub-Saharan Africa,Upper middle income,Other,GAB,2022,60,29.833333333333336,59.11875,33.225,45,45.43541666666667,Bottom 20%,2nd Quintile,Bottom 20%,2nd Quintile,Bottom 20%,2nd Quintile,2430747,GA,18662.0497970472,NA,NA,NA,2025-10-07
"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,Conflict,COD,2022,40,62.43333333333333,63.1,21.075,40,45.32166666666668,Bottom 20%,Bottom 20%,2nd Quintile,2nd Quintile,Bottom 20%,2nd Quintile,102396968,CD,1385.46472667357,NA,NA,NA,2025-10-07
St. Kitts and Nevis,Latin America & Caribbean,High income,Other,KNA,2022,40,66.66666666666666,39.943749999999994,42.25833333333333,35,44.77375000000001,Bottom 20%,Bottom 20%,3rd Quintile,Bottom 20%,2nd Quintile,Bottom 20%,46709,KN,29712.6855810274,NA,NA,NA,2025-10-07
Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,Other,DJI,2022,50,59.46666666666667,53.349999999999994,15.566666666666668,45,44.67666666666667,Bottom 20%,Bottom 20%,Bottom 20%,Bottom 20%,Bottom 20%,2nd Quintile,1137096,DJ,6180.67998594606,NA,NA,NA,2025-10-07
Papua New Guinea,East Asia & Pacific,Lower middle income,Institutional and Social Fragility,PNG,2022,50,59.2,67.5875,13.416666666666666,30,44.04083333333333,Bottom 20%,Bottom 20%,Bottom 20%,2nd Quintile,Bottom 20%,Bottom 20%,10203169,PG,4125.49303365201,NA,NA,NA,2025-10-07
"Somalia, Fed. Rep.",Sub-Saharan Africa,Low income,Other,SOM,2022,60,47.86666666666666,65.7,6.000000000000001,40,43.91333333333334,Bottom 20%,2nd Quintile,Bottom 20%,2nd Quintile,Bottom 20%,2nd Quintile,17801897,SO,1387.81374207492,NA,NA,NA,2025-10-07
Sudan,Sub-Saharan Africa,Low income,Conflict,SDN,2022,53.400000000000006,57.93333333333332,66.46249999999999,18.76666666666667,20,43.3125,Bottom 20%,Bottom 20%,Bottom 20%,2nd Quintile,Bottom 20%,Bottom 20%,49383346,SD,3132.0771484375,NA,NA,NA,2025-10-07
Central African Republic,Sub-Saharan Africa,Low income,Conflict,CAF,2022,50,58.63333333333334,62.1375,12.341666666666669,25,41.6225,Bottom 20%,Bottom 20%,Bottom 20%,2nd Quintile,Bottom 20%,Bottom 20%,5098039,CF,1136.8017111277,NA,NA,NA,2025-10-07
Nauru,East Asia & Pacific,High income,Other,NRU,2022,70,37.63333333333333,51.29375,43.31666666666666,5,41.44875,Bottom 20%,2nd Quintile,Bottom 20%,Bottom 20%,2nd Quintile,Bottom 20%,11801,NR,12458.7405101252,NA,NA,NA,2025-10-07
Tuvalu,East Asia & Pacific,Upper middle income,Institutional and Social Fragility,TUV,2022,50,59.73333333333333,55.9875,26.39166666666667,15,41.42250000000001,Bottom 20%,Bottom 20%,2nd Quintile,Bottom 20%,Bottom 20%,Bottom 20%,9992,TV,5498.18455447209,NA,NA,NA,2025-10-07
Guinea-Bissau,Sub-Saharan Africa,Low income,Institutional and Social Fragility,GNB,2022,80,23.666666666666664,66.01250000000002,14.616666666666667,20,40.85916666666668,Bottom 20%,3rd Quintile,Bottom 20%,2nd Quintile,Bottom 20%,Bottom 20%,2105529,GW,2564.42407234071,NA,NA,NA,2025-10-07
Andorra,Europe & Central Asia,High income,Other,AND,2022,40,55.766666666666666,33.43125,57.641666666666666,15,40.36791666666667,Bottom 20%,Bottom 20%,Bottom 20%,Bottom 20%,3rd Quintile,Bottom 20%,79705,AD,63913.3835079105,NA,NA,NA,2025-10-07
Marshall Islands,East Asia & Pacific,Upper middle income,Institutional and Social Fragility,MHL,2022,30,58.33333333333333,58.275,33.925000000000004,20,40.10666666666667,Bottom 20%,Bottom 20%,Bottom 20%,2nd Quintile,Bottom 20%,Bottom 20%,40077,MH,6844.33467800314,NA,NA,NA,2025-10-07
Haiti,Latin America & Caribbean,Lower middle income,Institutional and Social Fragility,HTI,2022,40,18,61.45,18.333333333333336,45,36.55666666666667,Bottom 20%,Bottom 20%,Bottom 20%,2nd Quintile,Bottom 20%,2nd Quintile,11503606,HT,3047.65179299452,NA,NA,NA,2025-10-07
"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income,Institutional and Social Fragility,FSM,2022,20,59.133333333333326,56.34375,22.2,25,36.53541666666666,Bottom 20%,Bottom 20%,Bottom 20%,2nd Quintile,Bottom 20%,Bottom 20%,112114,FM,3813.33830831106,NA,NA,NA,2025-10-07
Dominica,Latin America & Caribbean,Upper middle income,Other,DMA,2022,30,28.266666666666666,50.9625,39.38333333333333,30,35.7225,Bottom 20%,Bottom 20%,Bottom 20%,Bottom 20%,2nd Quintile,Bottom 20%,66826,DM,17550.8009946466,NA,NA,NA,2025-10-07
Equatorial Guinea,Sub-Saharan Africa,Upper middle income,Other,GNQ,2022,10,59.566666666666656,56.093749999999986,23.491666666666667,25,34.830416666666665,Bottom 20%,Bottom 20%,Bottom 20%,2nd Quintile,Bottom 20%,Bottom 20%,1803545,GQ,16932.7706827155,NA,NA,NA,2025-10-07
"Yemen, Rep.","Middle East, North Africa, Afghanistan & Pakistan",Low income,Conflict,YEM,2022,36.6,28.000000000000004,55.45624999999998,24.533333333333335,20,32.91791666666667,Bottom 20%,Bottom 20%,Bottom 20%,Bottom 20%,Bottom 20%,Bottom 20%,38222876,YE,NA,NA,NA,NA,2025-10-07
"Congo, Rep.",Sub-Saharan Africa,Lower middle income,Institutional and Social Fragility,COG,2022,30,29.433333333333326,59.38125000000001,18.6,25,32.48291666666667,Bottom 20%,Bottom 20%,Bottom 20%,2nd Quintile,Bottom 20%,Bottom 20%,6035104,CG,6205.1050414034,NA,NA,NA,2025-10-07
Turkmenistan,Europe & Central Asia,Upper middle income,Other,TKM,2022,60,0.4666666666666663,66.58125,11.683333333333334,15,30.746249999999996,Bottom 20%,2nd Quintile,Bottom 20%,2nd Quintile,Bottom 20%,Bottom 20%,7230193,TM,17119.5744946142,NA,NA,NA,2025-10-07
South Sudan,Sub-Saharan Africa,Low income,Conflict,SSD,2022,20,37.766666666666666,50.849999999999994,7.466666666666666,30,29.21666666666667,Bottom 20%,Bottom 20%,Bottom 20%,Bottom 20%,Bottom 20%,Bottom 20%,11021177,SS,NA,NA,NA,NA,2025-10-07
Syrian Arab Republic,"Middle East, North Africa, Afghanistan & Pakistan",Low income,Conflict,SYR,2022,26.6,23.066666666666663,50.03125000000001,11.616666666666667,30,28.262916666666666,Bottom 20%,Bottom 20%,Bottom 20%,Bottom 20%,Bottom 20%,Bottom 20%,22462173,SY,4454.85373271464,NA,NA,NA,2025-10-07
Libya,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,Institutional and Social Fragility,LBY,2022,20,25.63333333333333,49.2375,7.616666666666666,15,23.497499999999995,Bottom 20%,Bottom 20%,Bottom 20%,Bottom 20%,Bottom 20%,Bottom 20%,7223805,LY,11456.0768149668,NA,NA,NA,2025-10-07
American Samoa,East Asia & Pacific,High income,Other,ASM,2022,20,NA,20.700000000000003,NA,NA,NA,NA,Bottom 20%,NA,Bottom 20%,NA,NA,48342,AS,NA,NA,NA,NA,2025-10-07
Aruba,Latin America & Caribbean,High income,Other,ABW,2022,40,NA,26.525,NA,NA,NA,NA,Bottom 20%,NA,Bottom 20%,NA,NA,107310,AW,38877.6744362842,NA,NA,NA,2025-10-07
Bermuda,North America,High income,Other,BMU,2022,40,NA,26.50625,NA,NA,NA,NA,Bottom 20%,NA,Bottom 20%,NA,NA,64749,BM,98145.1689383889,NA,NA,NA,2025-10-07
British Virgin Islands,Latin America & Caribbean,High income,Other,VGB,2022,60,NA,26.19375,NA,NA,NA,NA,2nd Quintile,NA,Bottom 20%,NA,NA,38319,VG,NA,NA,NA,NA,2025-10-07
Cayman Islands,Latin America & Caribbean,High income,Other,CYM,2022,30,NA,27.706249999999997,NA,NA,NA,NA,Bottom 20%,NA,Bottom 20%,NA,NA,71591,KY,76359.0908832118,NA,NA,NA,2025-10-07
Channel Islands,Europe & Central Asia,High income,Other,CHI,2022,40,NA,NA,NA,NA,NA,NA,Bottom 20%,NA,NA,NA,NA,167215,JG,NA,NA,NA,NA,2025-10-07
Comoros,Sub-Saharan Africa,Lower middle income,Institutional and Social Fragility,COM,2022,80,NA,64.325,NA,40,NA,NA,3rd Quintile,NA,2nd Quintile,NA,2nd Quintile,834188,KM,3478.17346802815,NA,NA,NA,2025-10-07
Cuba,Latin America & Caribbean,Upper middle income,Other,CUB,2022,40,NA,66.35,NA,NA,NA,NA,Bottom 20%,NA,2nd Quintile,NA,NA,11059820,CU,NA,NA,NA,NA,2025-10-07
Curacao,Latin America & Caribbean,High income,Other,CUW,2022,60,NA,25.887500000000003,NA,NA,NA,NA,2nd Quintile,NA,Bottom 20%,NA,NA,149996,CW,27587.2448003627,NA,NA,NA,2025-10-07
Eritrea,Sub-Saharan Africa,Low income,Institutional and Social Fragility,ERI,2022,16.6,NA,46.162499999999994,NA,10,NA,NA,Bottom 20%,NA,Bottom 20%,NA,Bottom 20%,3409447,ER,NA,NA,NA,NA,2025-10-07
Faroe Islands,Europe & Central Asia,High income,Other,FRO,2022,40,NA,14.45,NA,NA,NA,NA,Bottom 20%,NA,Bottom 20%,NA,NA,53927,FO,69370.9545797436,NA,NA,NA,2025-10-07
French Polynesia,East Asia & Pacific,High income,Other,PYF,2022,40,NA,25.2625,NA,NA,NA,NA,Bottom 20%,NA,Bottom 20%,NA,NA,280378,PF,NA,NA,NA,NA,2025-10-07
Gibraltar,Europe & Central Asia,High income,Other,GIB,2022,40,NA,17.156249999999996,NA,NA,NA,NA,Bottom 20%,NA,Bottom 20%,NA,NA,37609,GI,NA,NA,NA,NA,2025-10-07
Greenland,Europe & Central Asia,High income,Other,GRL,2022,40,NA,21.6,NA,NA,NA,NA,Bottom 20%,NA,Bottom 20%,NA,NA,56661,GL,70681.2253902158,NA,NA,NA,2025-10-07
Guam,East Asia & Pacific,High income,Other,GUM,2022,40,NA,20.94375,NA,NA,NA,NA,Bottom 20%,NA,Bottom 20%,NA,NA,165180,GU,NA,NA,NA,NA,2025-10-07
"Hong Kong SAR, China",East Asia & Pacific,High income,Other,HKG,2022,40,NA,40.02499999999999,NA,NA,NA,NA,Bottom 20%,NA,Bottom 20%,NA,NA,7346100,HK,64036.6671749361,NA,NA,NA,2025-10-07
Isle of Man,Europe & Central Asia,High income,Other,IMN,2022,40,NA,11.525,NA,NA,NA,NA,Bottom 20%,NA,Bottom 20%,NA,NA,84132,IM,NA,NA,NA,NA,2025-10-07
"Korea, Dem. People's Rep.",East Asia & Pacific,Low income,Other,PRK,2022,10,NA,44.21875,NA,NA,NA,NA,Bottom 20%,NA,Bottom 20%,NA,NA,26328845,KP,NA,NA,NA,NA,2025-10-07
Kosovo,Europe & Central Asia,Upper middle income,Institutional and Social Fragility,XKX,2022,60,66.5,NA,50.25833333333334,80,NA,NA,2nd Quintile,3rd Quintile,NA,3rd Quintile,4th Quintile,1768096,XK,13022.4627441502,NA,NA,NA,2025-10-07
Liechtenstein,Europe & Central Asia,High income,Other,LIE,2022,50,NA,33.15,NA,NA,NA,NA,Bottom 20%,NA,Bottom 20%,NA,NA,39493,LI,NA,NA,NA,NA,2025-10-07
"Macao SAR, China",East Asia & Pacific,High income,Other,MAC,2022,40,NA,35.175,NA,NA,NA,NA,Bottom 20%,NA,Bottom 20%,NA,NA,677300,MO,60089.8325820639,NA,NA,NA,2025-10-07
Monaco,Europe & Central Asia,High income,Other,MCO,2022,40,NA,38.475,NA,NA,NA,NA,Bottom 20%,NA,Bottom 20%,NA,NA,38931,MC,NA,NA,NA,NA,2025-10-07
New Caledonia,East Asia & Pacific,High income,Other,NCL,2022,60,NA,30.93125000000001,NA,NA,NA,NA,2nd Quintile,NA,Bottom 20%,NA,NA,287123,NC,NA,NA,NA,NA,2025-10-07
Northern Mariana Islands,East Asia & Pacific,High income,Other,MNP,2022,40,NA,16.68125,NA,NA,NA,NA,Bottom 20%,NA,Bottom 20%,NA,NA,46078,MP,NA,NA,NA,NA,2025-10-07
Puerto Rico (US),Latin America & Caribbean,High income,Other,PRI,2022,50,NA,33.9125,NA,NA,NA,NA,Bottom 20%,NA,Bottom 20%,NA,NA,3220137,PR,42310.9585064702,NA,NA,NA,2025-10-07
San Marino,Europe & Central Asia,High income,Other,SMR,2022,50,60.7,32.574999999999996,NA,55.00000000000001,NA,NA,Bottom 20%,2nd Quintile,Bottom 20%,NA,3rd Quintile,33755,SM,70887.573899815,NA,NA,NA,2025-10-07
Sint Maarten (Dutch part),Latin America & Caribbean,High income,Other,SXM,2022,30,NA,17.99375,NA,NA,NA,NA,Bottom 20%,NA,Bottom 20%,NA,NA,42139,SX,43877.2491431337,NA,NA,NA,2025-10-07
St. Martin (French part),Latin America & Caribbean,High income,Other,MAF,2022,40,NA,12.9625,NA,NA,NA,NA,Bottom 20%,NA,Bottom 20%,NA,NA,28870,MF,NA,NA,NA,NA,2025-10-07
Turks and Caicos Islands,Latin America & Caribbean,High income,Other,TCA,2022,50,NA,29.99375000000001,NA,NA,NA,NA,Bottom 20%,NA,Bottom 20%,NA,NA,45847,TC,28209.6242536079,NA,NA,NA,2025-10-07
Virgin Islands (U.S.),Latin America & Caribbean,High income,Other,VIR,2022,40,NA,18.5875,NA,NA,NA,NA,Bottom 20%,NA,Bottom 20%,NA,NA,105413,VI,46479.2996685326,NA,NA,NA,2025-10-07
Poland,Europe & Central Asia,High income,Other,POL,2021,100,96.26666666666664,86.8375,89.825,100,94.58583333333334,Top Quintile,Top Quintile,Top Quintile,Top Quintile,Top Quintile,Top Quintile,36981559,PL,41059.5847829682,NA,NA,NA,2025-10-07
Denmark,Europe & Central Asia,High income,Other,DNK,2021,100,97.66666666666666,86.45625,87.95,100,94.41458333333334,Top Quintile,Top Quintile,Top Quintile,Top Quintile,Top Quintile,Top Quintile,5856733,DK,69715.1809680929,NA,NA,NA,2025-10-07
Finland,Europe & Central Asia,High income,Other,FIN,2021,100,95.7,88.4875,87.35000000000001,100,94.3075,Top Quintile,Top Quintile,Top Quintile,Top Quintile,Top Quintile,Top Quintile,5541017,FI,56790.3766177692,NA,NA,NA,2025-10-07
Norway,Europe & Central Asia,High income,Other,NOR,2021,100,94.29999999999998,87.2375,87.275,100,93.7625,Top Quintile,Top Quintile,Top Quintile,Top Quintile,Top Quintile,Top Quintile,5408320,NO,88984.1386736515,NA,NA,NA,2025-10-07
Sweden,Europe & Central Asia,High income,Other,SWE,2021,100,96.43333333333332,86.43125,84.35000000000001,100,93.44291666666666,Top Quintile,Top Quintile,Top Quintile,Top Quintile,Top Quintile,Top Quintile,10415811,SE,62731.700616293,NA,NA,NA,2025-10-07
Canada,North America,High income,Other,CAN,2021,100,93.06666666666663,83.6875,90.35,100,93.42083333333332,Top Quintile,Top Quintile,Top Quintile,4th Quintile,Top Quintile,Top Quintile,38239864,CA,56995.1176781351,NA,NA,NA,2025-10-07
Slovenia,Europe & Central Asia,High income,Other,SVN,2021,100,95.9,87.07500000000002,82.375,100,93.07,Top Quintile,Top Quintile,Top Quintile,Top Quintile,Top Quintile,Top Quintile,2108079,SI,45914.0572392406,NA,NA,NA,2025-10-07
Ireland,Europe & Central Asia,High income,Other,IRL,2021,100,96.8,87.15,80.125,100,92.815,Top Quintile,Top Quintile,Top Quintile,Top Quintile,Top Quintile,Top Quintile,5110585,IE,116903.61243517,NA,NA,NA,2025-10-07
United States,North America,High income,Other,USA,2021,100,92.7,85.95000000000002,85.1,100,92.75,Top Quintile,Top Quintile,Top Quintile,4th Quintile,Top Quintile,Top Quintile,332099760,US,71307.4017277218,NA,NA,NA,2025-10-07
Italy,Europe & Central Asia,High income,Other,ITA,2021,100,92.16666666666666,88.7125,81.55,100,92.48583333333332,Top Quintile,Top Quintile,Top Quintile,Top Quintile,Top Quintile,Top Quintile,59133173,IT,49825.3934111848,NA,NA,NA,2025-10-07
Germany,Europe & Central Asia,High income,Other,DEU,2021,100,95.33333333333331,84.9625,85.39999999999999,95,92.13916666666664,Top Quintile,Top Quintile,Top Quintile,4th Quintile,Top Quintile,Top Quintile,83196078,DE,62530.7653199239,NA,NA,NA,2025-10-07
Czechia,Europe & Central Asia,High income,Other,CZE,2021,100,89.6,84.38125,86.075,100,92.01125000000002,Top Quintile,Top Quintile,4th Quintile,4th Quintile,Top Quintile,Top Quintile,10505772,CZ,47796.0337408466,NA,NA,NA,2025-10-07
Portugal,Europe & Central Asia,High income,Other,PRT,2021,100,91.89999999999998,87.39375,78.55000000000001,100,91.56875,Top Quintile,Top Quintile,Top Quintile,Top Quintile,Top Quintile,Top Quintile,10361831,PT,38657.6677223425,NA,NA,NA,2025-10-07
Spain,Europe & Central Asia,High income,Other,ESP,2021,100,91.23333333333332,82.86250000000001,83.575,100,91.53416666666668,Top Quintile,Top Quintile,Top Quintile,4th Quintile,Top Quintile,Top Quintile,47443821,ES,44251.6658222621,NA,NA,NA,2025-10-07
